topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
adhd,https://www.alodokter.com/komunitas/topic/pemeriksaan-yang-harus-dilakukan-untuk-mendapat-diagnosis-adhd-pada-orang,Pemeriksaan yang harus dilakukan untuk mendapat diagnosis ADHD pada orang dewasa,"""\u003cp\u003eDok saya pekerja kantoran dan usia saya 25 tahun. 3 tahun terakhir ini saya susah fokus, sejak kecil saya memang mudah bosan, tidak bisa duduk diam dan mendengarkan dalam waktu yang lama. kadang saya sulit menangkap pembicaraan karena saya tidak fokus. Awalnya saya menganggap semua orang pernah mengalami hal seperti ini, tapi ternyata teman dan orang sekitar saya menganggap apa yg saya alami itu tidak wajar dok.. apakah yang saya alami ini termasuk ADHD? kemana saya harus konsul dan pemeriksaan apa saja yang harus saya lakukan dok?\u003c/p\u003e""","2 April 2024, 08:55","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003eDari penjelasan anda, anda mengatakan anda susah fokus beberapa tahun ini, susah fokus bukan menandakan anda mengalami\u003ca href=\""https://www.alodokter.com/adhd-pada-dewasa-ini-gejala-dan-penanganannya\""\u003e ADHD \u003c/a\u003eya, susah fokus memang bisa menyebabkan aktivitas dan pekerjaan terganggu serta hubungan sosial juga terganggu karena tidak nyambung akan pembicaraan. Susah fokus dapat disebabkan oleh beragam hal penyebab seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eKurang tidur karena tidur berperang penting dalam mendukung kerja otak\u003c/li\u003e\n\u003cli\u003eBosan dengan aktivitas yang anda lakukan jadi mudah terahlikan\u003c/li\u003e\n\u003cli\u003eKebiasaan overthinking\u003c/li\u003e\n\u003cli\u003eMelakukan tugas bersamaan\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eJadi beragam penyebabnya jadi coba anda atasi terlebih dahulu secara mandiri dengan melakukan beberapa tips seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eTidur yang cukup 7-9 jam tiap malam\u003c/li\u003e\n\u003cli\u003eSebaiknya fokus dengan satu kerjaan dulu\u003c/li\u003e\n\u003cli\u003eHindari berpikir buruk secara berlebihan\u003c/li\u003e\n\u003cli\u003eKelola stres dengan baik dengan melakukan hobi dan relaksasi\u003c/li\u003e\n\u003cli\u003eKonsumsi makanan bergizi secara teratur\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eJika tetap tidak membantu, maka anda bisa konsultasi lebih lanjut kondisi anda alami k\u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003ee dokter\u003c/a\u003e secara langsung agar diperiksa dan ditangani dengan tepat sesuai penyebab yang mendasari.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","2 April 2024, 14:07",dr. Riza Marlina
adhd,https://www.alodokter.com/komunitas/topic/bagaimana-tanda-dan-gejala-penyakit-adhd-pada-orang-dewasa-,Bagaimana tanda dan gejala penyakit adhd pada orang dewasa?,"""\u003cp\u003eDok katanya kan penyakit adhd itu tidak hanya pada anak kecil saja ya.. katanya orany dewasa bisa mengidap adhd saja dok? tanda gejala adhd pada orang dewasa itu seperti apa ya dok? apakah masih bisa diobati jika mengetahuinya saat dewasa?\u003c/p\u003e""","26 Maret 2024, 11:05","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD \u003c/a\u003eseringnya bisa tampak jelas gejalanya di kisaran usia 3 hingga 12 tahun. Meski begitu, gejala ADHD bisa terus bertahan hingga dewasa, terlebih jika tidak dideteksi dan ditangani dengan optimal. Adapun gejala yang bisa muncul di antaranya:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eSulit memusatkan perhatian, seperti tidak fokus mengerjakan aktifitas, perhatian mudah teralihkan, tidak mendengarkan arahan, ceroboh, tidak memperhatikan hal detail, sering kehilangan barang\u003c/li\u003e\n\u003cli\u003ePerilaku hiperaktif dan impulsif, seperti sulit duduk tenang, selalu menggerakkan beberapa bagian tubuh, berlari-lari atau memanjat di saat yang tidak tepat, gemar memotong pembicaraan orang lain, banyak bicara\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eTentu, mendiagnosis ADHD tidak bisa sembarangan, melainkan butuh pendampingan dari \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eagar bisa ditentukan penanganan terbaiknya. Asal ditangani secara komprehensif, seperti dengan obat-obatan dan psikoterapi, bukan tidak mungkin gejala ADHD bisa sangat dikontrol sehingga memungkinkan penderita untuk beraktifitas tanpa kendala, meski belum tentu sembuh sempurna.\u003c/p\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","26 Maret 2024, 17:30",dr. Nadia Nurotul Fuadah
adhd,https://www.alodokter.com/komunitas/topic/ciri-ciri-adhd-pada-orang-dewasa-dan-bagaimana-cara-mengatasinya-,Ciri-ciri ADHD pada orang dewasa dan bagaimana cara mengatasinya?,"""\u003cp\u003eSiang dok. Saya ingin bertanya mengenai adhd, sepertinya saya sering mengalami gejala ini deh dok.. jika benar saya mengalami adhd bagaimana cara mengatasinya dok? saya ini sering cemas, gugup, tegang berlebihan, sulit kosenterasi dan sering lupa.. apakah ini gejala adhd dok? terima kasih\u003c/p\u003e""","7 Februari 2024, 08:28","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eSering merasa cemas, gugup, tegang, sulit konsentrasi, dan mudah lupa sejatinya tidak hanya bisa disebabkan oleh \u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD \u003c/a\u003e(attention deficit hyperactivity disorder). Beragam keluhan ini bisa juga muncul karena pencetus lain, misalnya kurang persiapan, pola hidup tidak sehat, lingkungan yang tidak kondusif, gangguan kecemasan umum, fobia sosial, fobia spesifik, gangguan stres pasca trauma, gangguan kepribadian ambang, gangguan kepribadian paranoid, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eOrang dengan ADHD biasanya memiliki kesulitan untuk memusatkan perhatian, sehingga membuatnya tampak sulit fokus, mudah teralihkan, ceroboh, sulit mengikuti instruksi, sering kehilangan barang, dan enggan memperhatikan hal-hal yang detail. Selain itu, ADHD juga membuat penderitanya berlaku hiperaktif dan impulsif, seperti ditandai dengan sulit untuk duduk diam, kerap menggerakkan berlebihan beberapa bagian tubuh tanpa tujuan yang jelas, sulit merasa tenang, bicara terlalu banyak, kerap memotong pembicaraan orang, dan bisa juga mengganggu kegiatan orang di sekitarnya. Beragam gejala ini muncul akibat gangguan keseimbangan senyawa kimia di otak, yang diduga berkaitan dengan faktor genetik, riwayat terlahir prematur, paparan racun (misalnya timbal), hingga kelainan pada struktur dan fungsi otaknya. Seringnya, gejala ADHD sudah tampak sejak kecil, yakni di kisaran usia 3 tahun. Meski memang, bukan tidak mungkin pengamatan yang tidak optimal membuat ADHD baru terdeteksi ketika dewasa.\u003c/p\u003e\n\u003cp\u003eBisa Anda amati dari penjelasan kami di atas, bahwa kondisi yang Anda alami bisa jadi wajar, bisa juga tidak. Guna memastikan hal ini, idealnya Anda periksa dulu ke ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eya.. Dengan demikian, diagnosis tentu bisa dibuat dengan lebih obyektif, sebagai landasan pemberian penanganan yang optimal.\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","7 Februari 2024, 16:16",dr. Nadia Nurotul Fuadah
adhd,https://www.alodokter.com/komunitas/topic/dimanakah-tes-untuk-diagnosa-adhd-pada-orang-dewasa-,Dimanakah tes untuk diagnosa ADHD pada orang dewasa?,"""\u003cp\u003eSaya merasa kalo diri saya ini memiliki ADHD dok, saya soalnya suka rungsing, gelisah, gabisa fokus sama satu hal. Usia saya saat ini 22 tahun, kalo mau tes ADHD buat orang dewasa kira\"" dimana ya dok?\u003c/p\u003e""","25 Januari 2024, 11:17","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMudah gelisah, \u003cem\u003erungsing\u003c/em\u003e, dan sulit fokus tidak selalu menandakan Anda mengalami \u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD (\u003cem\u003eattention deficit hyperactivity disorder\u003c/em\u003e\u003c/a\u003e). Bisa jadi, keluhan yang Anda rasakan tersebut masih merupakan variasi sikap dan perilaku yang wajar, yang rentan memuncak misalnya saat ada tekanan atau gangguan dari lingkungan, kurang persiapan, habis mengalami peristiwa traumatik yang berlawanan dari harapan, gaya hidup tidak sehat, dan sebagainya. Atau mungkin juga, keluhan Anda dilandasi oleh suatu gangguan kejiwaan, misalnya gangguan kepribadian ambang, gangguan kecemasan umum, fobia spesifik, gangguan obsesif kompulsif, gangguan stres pasca trauma, fobia sosial, skizofrenia paranoid, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eGuna membedakan beragam kemungkinan di atas, idealnya memang Anda menjalani dulu serangkaian pemeriksaan, termasuk konseling, pemeriksaan fisik, atau mungkin beberapa tes penunjang (seperti tes urin, tes fungsi tiroid, MMPI). Pemeriksaan ini bisa Anda jalani dengan mengunjungi dulu \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003edi fasilitas kesehatan terdekat. Dengan begitu, Anda tentu bisa diarahkan penanganan terbaik nantinya.\u003c/p\u003e\n\u003cp\u003eSementara ini, berikut saran kami untuk Anda:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ePersiapkan keseharian Anda dengan baik\u003c/li\u003e\n\u003cli\u003eLakukan aktifitas Anda dengan sepenuh hati, buat jadwal agar hidup Anda teratur, fokuslah pada hal-hal yang penting\u003c/li\u003e\n\u003cli\u003eSibuklah untuk terus mengasah bakat, kembangkan agar membuahkan prestasi yang membanggakan, tidak perlu merisaukan penilaian orang, jangan juga membandingkan hidup Anda dengan orang lain\u003c/li\u003e\n\u003cli\u003eDisiplin menerapkan gaya hidup sehat, termasuk dengan tidur cukup, rutin berolahraga, jauhi rokok, alkohol, dan NAPZA\u003c/li\u003e\n\u003cli\u003eSempatkan melakukan relaksasi, misalnya dengan beribadah yang rajin, yoga atau thai chi, berlibur, melampiaskan hobi, berkumpul dengan orang tersayang\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","25 Januari 2024, 18:16",dr. Nadia Nurotul Fuadah
adhd,https://www.alodokter.com/komunitas/topic/apa-itu-penyakit-adhd-dan-apakah-bisa-disembuhkan-a5327a,Apa itu penyakit ADHD dan apakah bisa disembuhkan?,"""\u003cp\u003eBaru-baru ini selebgram ada yg bilang dia didiagnosa terkena penyakit ADHD dan dia bilang dia sangat hiperaktif dan gamau diem. sebenernya penyakit ADHD itu apa ya dokter? mohon pencerahannya. terima kasih banyak dok\u003c/p\u003e""","25 Maret 2024, 11:24","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD \u003c/a\u003e(\u003cem\u003eattention deficit hyperactivity disorder\u003c/em\u003e) adalah suatu gangguan mental yang belum diketahui penyebabnya, namun diyakini berkaitan dengan faktor genetik, lingkungan, serta gangguan keseimbangan senyawa kimia di otak. Gangguan ini bisa membuat penderitanya mengalami 2 gejala utama berikut:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eSulit memusatkan perhatian; seperti mudah teralihkan perhatiannya, tidak fokus saat mengerjakan sesuatu, sering tampak tidak mendengarkan arahan, tidak mau memperhatikan hal yang mendetail, ceroboh, atau sering kehilangan barang\u003c/li\u003e\n\u003cli\u003ePerilaku hiperaktif dan impulsif; seperti sulit untuk duduk tenang di tempatnya, kerap memotong pembicaraan orang lain, berlari-lari atau memanjat sesuatu di saat yang tidak tepat, berbicara terlalu banyak, selalu ingin bergerak, sering mngganggu aktifitas orang lain\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eUmumnya, gejala ADHD akan muncul dominan saat usia 3 hingga 12 tahun. Namun, jika tidak ditangani, kondisi ini bisa juga bertahan hingga dewasa. Sebab itu, penderita ADHD sepatutnya diperiksakan ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-anak\""\u003edokter \u003c/a\u003eagar diberikan penanganan terbaik, seperti dengan obat-obatan, terapi perilaku kognitif, terapi psikoedukasi, terapi interaksi sosial, terapi keluarga, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","25 Maret 2024, 15:34",dr. Nadia Nurotul Fuadah
adhd,https://www.alodokter.com/komunitas/topic/penyebab-dan-cara-mengatasi-sesorang-cara-berpikirnya-lambat--otak-lemot-,Penyebab dan cara mengatasi sesorang cara berpikirnya lambat (otak lemot),"""\n\n\u003cp\u003eSelamat siang, saya punya adik yg berusia 10 tahun, tapi cara berpikirnya lambat (lemot) dalam segi pelajaran. Jadi pertanyaannya, kenapa otaknya lemot dan bagaimana cara mengatasinya ya dok? sekian pertanyaan saya bila ada penulisan kata, mohon dimaafkan. terima kasih\u003c/p\u003e\n""","20 Januari 2023, 08:14","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter.\u003c/p\u003e\n\u003cp\u003eKemampuan dan kecepatan berpikir, kemampuan menggunakan logika secara umum, serta kecerdasan seseorang, tentunya dipengaruhi oleh beragam faktor, diantaranya adalah genetik, pola asuh dan stimulasi oleh orang tua, lingkungan, ASI pada usia kecil, dan tingkat kreativitas.\u003c/p\u003e\n\u003cp\u003eBeberapa kemampuan dalam berpikir dan kecerdasan seseorang tentunya bisa diukur dengan \u003ca href=\""https://www.alodokter.com/tes-iq-bukan-satu-satunya-penentu-kecerdasan\""\u003epengukuran atau tes IQ\u003c/a\u003e, yang dapat dilakukan dengan pendampingan psikolog, dan juga dapat disertai dengan pengukuran dalam kecerdasan lainnya seperti kecerdasan emosional jika diperlukan, tergantung kondisi adik anda saat ini.\u003c/p\u003e\n\u003cp\u003eOleh karena itu, untuk lebih jelasnya lagi anda dapat memeriksakan tingkat kecerdasan adik anda dapat melalui \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-anak?page=1\""\u003edokter anak\u003c/a\u003e terlebih dahulu agar dapat diarahkan pemeriksaan yang tepat, ataupun dengan \u003ca href=\""https://www.alodokter.com/informasi-tentang-konsultasi-psikologi-anak-yang-perlu-anda-tahu\""\u003epsikolog anak.\u003c/a\u003e\u003c/p\u003e\n\u003cp\u003eSementara ini untuk meningkatkan kecerdasan adik anda, maka anda perlu membantu \u003ca href=\""https://www.alodokter.com/tips-agar-anak-cerdas\""\u003emenstimulasi kecerdasan\u003c/a\u003e adik anda dari beragam aspek yaitu seperti dengan sering mengajaknya membaca, mengajarkan bahasa asing, memperkenalkan seni atau musik, ajak adik anda melakukan permainan yang edukatif, dimana dapat anda pelajari lebih lanjut pada \u003ca href=\""https://www.alodokter.com/8-langkah-membuat-anak-cerdas\""\u003eartikel ini.\u003c/a\u003e\u003c/p\u003e\n\u003cp\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","20 Januari 2023, 11:21",dr. Arrum Putri Amalia
adhd,https://www.alodokter.com/komunitas/topic/apa-perbedaan-antara-anak-aktif-dan-anak-hiperaktif-,Apa perbedaan antara anak aktif dan anak hiperaktif?,"""\n\n\u003cp\u003eSelamat pagi,, dokter saya seorang ibu muda dan punya anak usia 4 tahun, Anak saya aktif sekali dok, sampai-sampai orang disekitar saya mecurigai anak saya hiperaktif. yang saya ingin tanyakan dok, sebenarnya apa bedanya anak aktif dan hiperaktif ya, dokter? Terima kasih\u003c/p\u003e\n""","10 Januari 2023, 08:00","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter.\u003c/p\u003e\n\u003cp\u003eAnak yang mengalami hiperaktif yang mengarah kepada gangguan seperti \u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD\u003c/a\u003e, maka dapat ditandai dengan anak yang mudah teralihkan ketika mendengarkan guru atau seseorang berbicara, sering ceroboh mengerjakan sesuatu, mudah lupa atau kehialng sesuatu, tidak bisa menjalankan instruksi dengan tepat, sering atau banyak bicara, tidak bisa menunggu giliran, sulit mengikuti aktivitas yang membuatnya duduk diam, dan tidak memiliki rasa takut.\u003c/p\u003e\n\u003cp\u003ePenentuan diagnosis tentunya perlu dilakukan melalui pemeriksaan secara langsung pada anak, yang umumnya dapat dilakukan oleh \u003ca href=\""https://www.alodokter.com/cari-dokter/pediatri/skrining-tumbuh-kembang-anak\""\u003edokter anak ahli tumbuh kembang\u003c/a\u003e, melalui beragam pemeriksaan dan bebrapa kriteria.\u003c/p\u003e\n\u003cp\u003eUntuk membantu mengatasi anak yang hiperaktif, anda dapat membangun kehidupan anak yang terorganisir dan terstruktur, menciptakan waktu tidur yang teratur, menerapkan disiplin positif pada anak, sering berbincang dan beraktivitas bersama dengan anak, serta menanggapi komunikasi dengan anak secara tenang dan sabar.\u003c/p\u003e\n\u003cp\u003eJika anak sudah sekolah, maka anda dapat mempelajari penanganan anak yang hiperaktif pada \u003ca href=\""https://www.alodokter.com/perhatian-khusus-menghadapi-anak-hiperaktif\""\u003eartikel ini\u003c/a\u003e, secara lebih lanjut.\u003c/p\u003e\n\u003cp\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","10 Januari 2023, 11:03",dr. Arrum Putri Amalia
adhd,https://www.alodokter.com/komunitas/topic/apa-saja-kelebihan-pada-penderita-adhd-dan-bagaimana-solusinya-,Apa saja kelebihan pada penderita ADHD dan bagaimana solusinya?,"""\u003cp\u003eDokter, temen saya ada yg ngaku menderita ADHD, dia udh ke dokter. menurut pendapat dokter kelebihan dari penderita ADHD itu seperti apa sih dokter? apakah perlu penanganan khusus dok?\u003c/p\u003e""","1 Agustus 2023, 07:52","""\n\n\u003cp\u003eAlo. Terimakasih sudah bertanya kepada Alodokter.\u003c/p\u003e\n\u003cp\u003eKondisi sesorang yang menderita ADHD (Attention Deficite Hyperactivity Disorder) dapat menyebabkan terganggunya aktivitas harian seperti:\u003c/p\u003e\n\u003col\u003e\n\u003cli\u003eMengalami masalah dalam pendidikan atau pekerjaan akibat sulit menentukan prioritas dan memusatkan perhatian.\u003c/li\u003e\n\u003cli\u003eSulit memiliki teman atau pasangan dikarenakan cenderung uring-uringan atau mudah emosi.\u003c/li\u003e\n\u003c/ol\u003e\n\u003cp\u003ePenentuan seseorang menderita ADHD atau tidak hanya dapat dilakukan oleh dokter yaitu Dokter Spesialis Kejiwaan (Sp.KJ) jika usia dewasa ataupun dokter Spesialis Anak (Sp.A) jika pada anak-anak. Penetuan ADHD dari pemeriksaan fisik, wawancara pada penderita dan keluarganya serta kemungkinan tes penunjang sesuai indikasi sepertihitung darah lengkap, tes fungsi hati, tes fungsi tiroid, danMRIotak.\u003c/p\u003e\n\u003cp\u003eTerkait pertanyaan anda:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eSetiap orang memiliki \u003ca href=\""https://www.alodokter.com/komunitas/topic/anak-55\""\u003ebakat dan potensi \u003c/a\u003eunik yang dapat dikembangkan termasuk seesorang yang menderita ADHD. Untuk memaksimalkan potensi yang ada, maka perlu beriringan juga dengan terapi ADHD sehingga konsentrasi dapat terfokuskan dengan baik.\u003c/li\u003e\n\u003cli\u003e\n\u003ca href=\""https://www.alodokter.com/adhd\""\u003ePenanganan pada penderita ADHD\u003c/a\u003e, dapat dilakukan dengan pemberian obat-obatan ataupun psikoterapi seperti terapi perilaku kognitif (CBT), terapi psikoedukasi ataupun terapi perilaku sosial.\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eDemikian informasi yang dapat saya berikan. Semoga membantu. Salah sehat sukses selalu.\u003c/p\u003e\n\n""","1 Agustus 2023, 10:37","dr. Fadhilah Az Zahro, IBCLC, CIMI"
adhd,https://www.alodokter.com/komunitas/topic/apakah-adhd-dan-autis-itu-sama-atau-berbeda-,Apakah ADHD dan autis itu sama atau berbeda?,"""\n\n\u003cp\u003eApakah ADHD sama dengan cacat mental atau autis ya dok ? Apakah pengidap ADHD memerlukan sekolah khusus?\u003c/p\u003e\n""","4 Agustus 2022, 09:06","""\n\n\u003cp\u003ealo, terima kasih sudah bertanya kepada alodokter. saya dr. Ainul\u003c/p\u003e\n\u003cp\u003eAutisme merupakan kelainan perkembangan saraf yang dapat mengakibatkan gangguan dalam berperilaku dan berinteraksi dengan sesama. Autisme ini dapat disebabkan oleh berbagai macam hal. Sedangkan ADHD atau\u003cem\u003eAttention deficit Hyperactivity Disorder\u003c/em\u003e gangguan pada perilaku yang menyebabkan hiperaktif kurang perhatian dan tindakan impulsif. Kedua gangguan ini berbeda perlu dipahami. Pada anak dengan ADHD banyak tidak suka melakukan kegiatan setiap hari dalam waktu lama, berbicara tanpa henti, dan tidak fokus.\u003c/p\u003e\n\u003cp\u003ePada penderita adhd perlu dilakukan kesabaran dan pendampingan yang lebih agar dapat mengoptimalkan perkembangan anak. Pada \u003cstrong\u003e\u003ca href=\""https://www.alodokter.com/perhatian-khusus-menghadapi-anak-hiperaktif\""\u003eanak dengan ADHD \u003c/a\u003e\u003c/strong\u003ecara perlu dilakukan hal berikut ini seperti:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ebanyak menghabiskan waktu dengan anak\u003c/li\u003e\n\u003cli\u003emembaut jadwal kegiatan sehari hari dan ditepati\u003c/li\u003e\n\u003cli\u003ememberikan contoh dalam menjalankan kegiatan sehari haari\u003c/li\u003e\n\u003cli\u003emelakukan terapi\u003c/li\u003e\n\u003c/ul\u003eperlu dipahami jika perlu diketahui tingkat keparahannya dahulu, Jika memang sedang dan berat tentu perlu dilakukan pada sekolah khusus semoga membantu\n""","4 Agustus 2022, 12:38",dr. Muhammad Ainul Rohman F
adhd,https://www.alodokter.com/komunitas/topic/bagaimana-bisa-tau-anak-memiliki-adhd-,Bagaimana cara mengetahui anak terkena ADHD?,"""\n\n\u003cp\u003eHalo dokter. Perkenalkan Saya Valentina.\u003cbr\u003e\u003cbr\u003eSaya mau bertanya dok, bagaimana caranya kita tahu bahwa anak kita mengalami ADHD atau tidak? Karena semenjak masuk TK kemarin saya banyak mendapat laporan dr gurunya atau orang tua murid kalau anak saya itu dikelas tidak bisa fokus, kalau di tegur sedikit nangis kejer dikelas, dan selalu bergerak tidak bisa diam saat proses bljr dalam kelas berlangsung. Dan dia selalu takut utk main ayunan, plosotan, jungkat jungkit dan mainan TK lainnya, dia hanya duduk diam di pojokan liat teman2nya bermain. Saya blm berani memvonis dia apakah memang ADHD atau bukan. Maka saya mau konsul ke dokter. Terimakasih dokter🙏🏻\u003c/p\u003e\n""","9 Juli 2022, 20:52","""\n\n\u003cp\u003eTerima kasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003eUntuk menentukan apakah anak terkena ADHD atau bukan, perlu melakukan ke psikiater secara langsung karena perlu dilakukan pertanyaan yang lebih spesifik untuk mengetahui gejala serta pemeriksaan lebih lanjut. Maka sebaiknya tidak mendiagnosis sendiri tanpa melakukan pemeriksaan ke psikiater (dokter sepesialis kejiwaan).\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/adhd\""\u003eADHD\u003c/a\u003eadalah gangguan mental yang dapat menyebabkan anak menjadi sulit memperhatikan, mengalami perilaku impulsif dan hiperaktif, hingga dapat mempengaruhi prestasi anak di sekolah. Penyebab utama ADHD belum diketahui namun dapat dipengaruhi oleh faktor genetik serta lingkungan.Gejala ADHD pada umumnya muncul di usia 3 tahun dan makin terlihat seiring usia bertambah (terutama usia sekolah). Terdapat dua spektrum gejala pada ADHD yaitu sulit memusatkan perhatian serta mengalamiperilaku hiperaktif dan impulsif.\u003cbr\u003e\u003cbr\u003ePada gejala kesulitan memusatkan perhatian, gejala yang dialami misalnya: tidak fokus dalam mengerjakan sesuatu, perhatian mudah dialihkan, sering tidak mendengarkan, tidak mendetail, sering kehilangan barang, sulit mengikuti instruksi untuk mengerjakan sesuatu, tidak suka aktivitas yang berhubungan dengan konsentrasi, dan sebagainya.\u003cbr\u003eSedangkan pada perilaku hiperaktif dan impulsif dapat ditandai dengan sulit diam di tempat duduk, suka menggerakkan bagian tubuh saat duduk, suka berlari-lari, suka memotong pembicaraan orang lain, terlalu banyak berbicara, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eUntuk mendiagnosis perlu dilakukan kerjasama dari \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-anak\""\u003edokter anak\u003c/a\u003edan\u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater.\u003c/a\u003eWawancara bertujuan untuk mendiagnosis apakah menderita ADHD apa bukan, mengetahui tingkat keparahan, mendeteksi adanya penyakit lain, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eTerima kasih, semoga membantu.\u003c/p\u003e\n\n""","9 Juli 2022, 21:32",dr. Riska Larasati
