topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
bipolar,https://www.alodokter.com/komunitas/topic/apakah-penyakit-mental-bipolar-memerlukan-pengobatan-seumur-hidup-,Apakah penyakit mental bipolar memerlukan pengobatan seumur hidup?,"""\u003cp\u003eDokter dulu pernah ada artis yang menyatakan drinya kena penyakit mental bipolar, bipolar itu ciri-cirinya seperti apa dok? dan apakah penderitanya memerlukan pengobatan seumur hidup dok?\u003c/p\u003e""","5 Juni 2024, 08:09","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/gangguan-bipolar/pengobatan\""\u003eGangguan bipolar \u003c/a\u003eadalah suatu gangguan mental yang ditandai dengan perubahan suasana hati secara drastis, dari yang awalnya manik menjadi depresi, atau sebaliknya. Adapun gejala yang muncul pada penderita gangguan bipolar dicirikan dengan:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eFase manik, yakni muncul perasaan senang yang berlebihan, bicara sangat sering dan cepat, terlalu percaya diri, merasa tidak butuh tidur dan makan, sering membuat keputusan secara gegabah dan tidak realistis\u003c/li\u003e\n\u003cli\u003eFase depresif, yakni muncul perasaan sedih yang berlebihan, putus asa, malas beraktifitas, mudah lelah, enggan melakukan hal-hal yang sebelumnya disenangi, lemas, gelisah, sulit fokus, gangguan tidur, perasaan bersalah atau tidak berharga, pesimis, nafsu maka turun atau malah naik berlebihan, hingga muncul keinginan untuk bunuh diri\u003c/li\u003e\n\u003cli\u003eDi antara kedua fase tersebut, bisa juga penderita mengalami fase normal (euthymia), yang membuat penderita tampak baik-baik saja seakan tidak sakit\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eGangguan bipolar terjadi karena gangguan keseimbangan senyawa kimia di otak, yang diduga muncul berkaitan dengan faktor genetik, biologis, lingkungan, dan status kesehatan penderita secara umum. Karena penyebabnya yang multifaktorial, gangguan bipolar pun perlu ditangani dengan komprehensif. Meski sulit disembuhkan total, penanganan yang optimal (mencakup obat-obatan, psikoterapi) bisa membuat gejala penderita jauh membaik, sehingga kualitas hidup penderita pun juga meningkat. Adapun durasi pengobatan penyakit ini bisa bervariasi, ada yang jangka pendek, ada pula yang jangka panjang (nyaris seumur hidup) tergantung keparahannya. Untuk itu, silakan berdiskusi kembali dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e ya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","5 Juni 2024, 15:42",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/bagaimana-penanganan-penyakit-bipolar-agar-sembuh-total-,Bagaimana penanganan penyakit bipolar agar sembuh total?,"""\u003cp\u003eHai dok, adik saya berusia 20 tahun, dia sudah di diagnosis terkena bipolar. Yang saya mau tanyakan apakah bipolar itu bisa sembuh dok? bagaimana penanganan bipolar agar sembuh total dok?\u003c/p\u003e""","29 Agustus 2023, 08:06","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003eGangguan bipolar \u003c/a\u003eadalah suatu gangguan kejiwaan yang ditandai dengan perubahan mood yang sangat drastis dari yang awalnya senang berlebihan (manik) menjadi sedih berlebihan (depresi) atau sebaliknya. Kondisi ini terjadi akibat gangguan pada keseimbangan senyawa kimia di otak yang secara tidak langsung dipengaruhi juga oleh faktor genetik, riwayat peristiwa traumatis dalam hidup, pola pengasuhan sejak kecil, gaya hidup yang dijalani, serta status kesehatan secara umum.\u003c/p\u003e\n\u003cp\u003eSebagaimana gangguan kejiwaan lain, gangguan bipolar pun sulit untuk sembuh total. Gejala penyakit ini bisa kambuh sewaktu-waktu, terlebih jika tidak dilakukan penanganan yang optimal. Namun, penanganan yang tepat bisa membuat gejala sangat terkontrol, sehingga bukan tidak mungkin penderitanya bisa menjalani aktifitas kesehariannya tanpa kendala berarti.\u003c/p\u003e\n\u003cp\u003eSaran kami, adik Anda didampingilah kontrol teratur ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eagar diberi arahan penanganan terbaiknya, contohnya dengan obat, psikoterapi, dan sebagainya. Selain itu, sebagai kerabat, yang perlu Anda lakukan yakni:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eBelajar berempati, pahami penyakit adik Anda tersebut, bersikaplah sabar padanya, dukung agar kondisinya membaik\u003c/li\u003e\n\u003cli\u003eIngatkan adik Anda agar memperdekat hubungannya dengan Tuhan YME, jangan lupa bersyukur saat diberi nikmat, bersabarlah saat diberi ujian\u003c/li\u003e\n\u003cli\u003eAjak ia mengisi hari-harinya dengan variasi kegiatan positif, seperti belajar, bekerja, berorganisasi, bersosialisasi\u003c/li\u003e\n\u003cli\u003eArahkan ia agar tidak banyak mengurung diri, sempatkan bermeditasi, melampiaskan hobi, dan berlibur jika perlu\u003c/li\u003e\n\u003cli\u003eBantu pilihkan lingkungan pergaulan yang baik bagi adik Anda, jauhkan ia dari rokok, NAPZA, dan seks bebas\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","29 Agustus 2023, 14:34",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/penyakit-bipolar-itu-seperti-apa-dan-apa-solusinya-,Penyakit bipolar itu seperti apa dan apa solusinya?,"""\u003cp\u003eHi dokter, dok mau tanya saya remaja 16 tahun, saya merasa mengalami gangguan mental dan kepribadian , karena saya selalu merasa hampa atau kosong selain itu kadang di sertai dengan sakit kepala ,kadang saya melampiaskan nya dengan cara self harm apakah ini tanda depresi atau saya memiliki gangguan bipolar ? terima kasih\u003c/p\u003e""","8 Mei 2024, 08:51","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eKondisi diri yang merasa hampa, kepala sering terasa nyeri, hingga terbesit keinginan untuk melakukan tindakan menyakiti diri sendiri (\u003cem\u003eself harm\u003c/em\u003e) memang bisa jadi muncul karena gangguan \u003cem\u003emood\u003c/em\u003e, misalnya \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi\u003c/a\u003e, \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e, atau gangguan siklotimik. Bukan itu saja, keluhan yang Anda alami bisa pula terjadi akibat beragam faktor lain, contohnya gangguan stres pasca trauma, gangguan kepribadian ambang, skizofrenia, dan sebagainya. Umumnya, beragam gangguan ini muncul karena terganggunya keseimbangan senyawa kimia di otak yang dipengaruhi oleh jenis kepribadian, pola pengasuhan sejak kecil, jenis kepribadian, kondisi hormonal, kondisi lingkungan, gaya hidup, dan status kesehatan secara umum.\u003c/p\u003e\n\u003cp\u003eMembedakan mana pencetus atas keluhan Anda tidak boleh sembarangan. Agar jelas, cobalah Anda pergi memeriksakan diri dulu ke ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e. Dengan begitu, dokter tentu bisa memberi Anda tatalaksana tepat sesuai penyebabnya, misalnya dengan obat-obatan, psikoterapi, atau lainnya.\u003c/p\u003e\n\u003cp\u003eSembari itu, langkah berikut bisa Anda lakukan dulu di rumah agar keluhan Anda membaik:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ePerdekat hubungan Anda dengan Tuhan YME, jangan lupa bersyukur atas karunia yang telah Tuhan beri pada Anda, sabar dan tawakkal saat diberi ujian\u003c/li\u003e\n\u003cli\u003eJika ada orang yang membuat Anda kecewa, maafkan, jangan menyimpan dendam, sadari bahwa tidak semua hal di dunia ini harus sesuai dengan harapan Anda\u003c/li\u003e\n\u003cli\u003eSaat ada masalah, fokuslah mencari solusinya, jangan sibuk menyalahkan diri sendiri maupun orang lain, jangan juga dipikirkan terlalu rumit, minta bantuan dari orang yang Anda rasa ahli dalam menyelesaikan masalah Anda\u003c/li\u003e\n\u003cli\u003eBangun pikiran yang positif, berlakulah yang baik agar Anda juga diperlakukan demikian, sempatkan bermeditasi dan melakukan teknik relaksasi lain (seperti latihan pernapasan, yoga, thai chi) agar pikiran dan hati lebih tenang\u003c/li\u003e\n\u003cli\u003eLampiaskan hobi Anda, lakukan aktifitas yang membuat Anda bahagia, jalin silaturahmi dengan kerabat dan orang-orang yang Anda sayangi\u003c/li\u003e\n\u003cli\u003eDisiplin menerapkan gaya hidup yang sehat, termasuk dengan tidur cukup, olahraga teratur, makan makanan bergizi seimbang, hindari rokok dan NAPZA\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","8 Mei 2024, 15:25",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/apakah-penyakit-bipolar-disorder-masih-bisa-sembuh-total-,Apakah penyakit bipolar disorder masih bisa sembuh total?,"""\u003cp\u003eTeman saya ada yg dinyatakan mengalami bipolar disorder, sudah setahun ini dia harus rutin minum obat dok. Apakah penyakit bipolar disorder yg diderita teman saya masih ada kemungkinan untuk sembuh secara total dok?\u003c/p\u003e""","5 Maret 2024, 09:54","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003eGangguan bipolar \u003c/a\u003eadalah suatu gangguan mental yang ditandai dengan perubahan suasana hati yang ekstrim, dari depresi (sedih yang berlebihan) ke manik (senang yang berlebihan), atau juga sebaliknya. Penyebab pasti gangguan bipolar sejatinya belum diketahui. Namun, kondisi ini diyakini muncul karena gangguan keseimbangan senyawa kimia di otak yang berkaitan dengan faktor genetik, biologis, gaya hidup, dan juga lingkungan.\u003c/p\u003e\n\u003cp\u003eJika tidak ditangani, gangguan bipolar bisa menyebabkan gejala yang sangat mengganggu dan menurunkan kualitas hidup penderitanya. Saat dalam fase depresi, bukan tidak mungkin penderita akan melakukan tindakan menyakit diri, hingga bunuh diri. Selain itu, gejala gangguan ini juga bisa sangat mengganggu orang di sekitarnya.\u003c/p\u003e\n\u003cp\u003eAsal dideteksi dini dan ditangani dengan optimal, bukan tidak mungkin gangguan bipolar bisa disembuhkan. Namun memang, penanganan atas kondisi ini tidak bisa dilakukan secara instan, melainkan bisa berbulan-bulan hingga bertahun-tahun. Biasanya, penanganan perlu dilakukan secara komprehensif, yakni dengan obat-obatan, psikoterapi, terapi kognitif, terapi keluarga, dan sebagainya. Untuk itu, Anda bisa mendampingi rekan Anda periksa rutin ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","5 Maret 2024, 18:56",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/bagaimana-ciri-ciri-bipolar-pada-remaja-17-tahun-,Bagaimana ciri-ciri bipolar pada remaja 17 tahun?,"""\u003cp\u003eSaya remaja 17 tahun, kadang mengalami gangguan psikis. dalam seminggu saya bisa baik2 aja, produktif, melakukan hobi. Tapi seminggu kemudia bisa down, tiidak ada gairah dan semangat sama sekali bahkan bisa sampai overtinking. Apa itu ciri-ciri bipolar dok?\u003c/p\u003e""","4 Januari 2024, 12:43","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMengacu pada gejala yang Anda sampaikan, memang mungkin saja Anda mengalami \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e. Namun sejatinya, bukan tidak mungkin gejala tersebut masih merupakan variasi perubahan sikap dan perilaku yang wajar, atau mungkin malah muncul karena gangguan kejiwaan yang lain, seperti gangguan kepribadian ambang, gangguan siklotimik, gangguan stres pasca trauma, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eMembedakan beragam kemungkinan di atas idealnya tidak dilakukan oleh sembarang orang, melainkan butuh bantuan ahli, seperti dokter, \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e, atau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e. Karenanya, jika merasa amat terganggu, tidak ada salahnya Anda periksa langsung kefasilitas kesehatan terdekat ya..\u003c/p\u003e\n\u003cp\u003eSementara ini, keluhan Anda bisa diperbaiki dulu dengan:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eJalani hari-hari Anda dengan teratur, buat skala prioritas, sukai aktifitas yang Anda kerjakan\u003c/li\u003e\n\u003cli\u003eBiasakan selalu berpikiran positif, hindari terlalu banyak mengeluh apalagi membandingkan hidup Anda dengan orang lain\u003c/li\u003e\n\u003cli\u003eLuruskan tujuan hidup Anda, fokus mengembangkan diri menjadi pribadi yang lebih baik, niatkan segala aktifitas Anda untuk mendapat ridho-Nya\u003c/li\u003e\n\u003cli\u003eJalin hubungan baik dengan keluarga, sahabat, dan masyarakat di sekitar Anda\u003c/li\u003e\n\u003cli\u003eSaat ditimpa masalah, bersabarlah, fokus mencari solusinya, jangan diratapi berlebihan, jangan sungkan meminta bantuan jika sulit mencari solusi masalah tersebut seorang diri\u003c/li\u003e\n\u003cli\u003eSaat diberi nikmat, jangan lupa bersyukur, bagikan kebahagiaan tersebut dengan orang di sekitar Anda\u003c/li\u003e\n\u003cli\u003eDisiplin menjalani gaya hidup yang sehat, jauhkan diri Anda dari rokok, alkohol, dan NAPZA agar bisa tetap berpikir bijak\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","4 Januari 2024, 16:24",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/bagaimana-cara-menghadapi-orang-yang-terkena-bipolar-,Bagaimana cara menghadapi orang yang terkena bipolar?,"""\u003cp\u003eSelamat siang, dok saya mau konsul, sebenernya di keluaraga saya ada yang menderita sakit bipolar, dia tingkahnya masih terlihat aneh dok, dia jg udah di tangani dokter profesional / dokter jiwa dan saat ini masih konsumsi obat2an. gimana ya dok kiat2 menghadapi orang yang terkena bipolar?\u003c/p\u003e""","28 Agustus 2023, 10:54","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003eGangguan bipolar \u003c/a\u003eadalah suatu gangguan kejiwaan yang membuat penderitanya mengalami perubahan suasana yang sangat drastis dalam waktu yang sangat cepat, dari yang awalnya senang berlebihan (mania) lantas menjadi sedih berlebihan (depresi), atau sebaliknya. Kondisi seperti ini terjadi akibat gangguan keseimbangan senyawa kimia di otak, yang dipengaruhi juga oleh riwayat trauma masa kecil, genetik (keturunan), gaya hidup, hingga kondisi kesehatan secara umum. Gangguan bipolar seringnya sulit untuk disembuhkan total. Namun, dengan penanganan optimal, gejala penderita bisa sangat dikontrol, sehingga ia bisa beraktifitas dengan baik tanpa kendala berarti dan kualitas hidupnya pun meningkat.\u003c/p\u003e\n\u003cp\u003eMenyikapi kondisi Anda yang hidup berdampingan dengan penderita gangguan bipolar, berikut yang perlu dilakukan:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eTingkatkan empati, pahami kondisinya yang sedang sakit, dan jangan mudah menghakimi\u003c/li\u003e\n\u003cli\u003eDukung ia dalam menjalani penanganan medis, ingatkan ia jadwal minum obat, temani ia saat butuh kontrol ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003edokter\u003c/a\u003e\n\u003c/li\u003e\n\u003cli\u003eSaat sedang dalam fase mania, bantu salurkan energinya yang berlebih dengan melakukan beragam aktifitas positif, seperti berolahraga, menyalurkan hobi, bekerja, bersosialisasi dengan lingkungan, dan sebagainya\u003c/li\u003e\n\u003cli\u003eSaat sedang dalam fase depresi, hibur ia, jangan biarkan ia berlama-lama mengurung diri, jauhkan benda-benda berbahaya dari jangkauannya, ingatkan ia beribadah yang rajin\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","28 Agustus 2023, 15:01",dr. Nadia Nurotul Fuadah
bipolar,https://www.alodokter.com/komunitas/topic/apakah-orang-yang-memiliki-ciri-ciri-penyakit-bipolar-itu-sadar-akan,Apakah orang yang memiliki ciri-ciri penyakit bipolar itu sadar akan penyakitnya?,"""\u003cp\u003eDok mau nanya, ada teman saya yang punya mood swing, suka berubah drastis suasana hatinya, semangat menggebu-gebu, punya masalah insomnia, agak2 mirip sama penyakit bipolar. itu penderita bipolar sebenernya mereka tau dan sadar gak sih dok kalau mereka mempunyai masalah seperti itu? soalnya dia merasa baik2 saja sih dok. dulu jg pernah punya inisiatif bunuh diri. bagaimana ya cara memberi tahu agar dpt perawatan yang benar dok?\u003c/p\u003e""","14 Juni 2023, 14:14","""\n\n\u003cp\u003eSelamat sore, terima kasih telah bertanya di Alodokter. \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003ePenyakit bipolar\u003c/a\u003e, adalah suatu kondisi ketika seseorang mengalami perubahan drastis pada suasana hati, tanpa sebab yang jelas. Seseorang bisa merasa begitu gembira, dan kemudian berubah menjadi pendiam dan pemurung. Namun ini harus dibedakan dengan kondisi mood swing biasa, karena gembiranya seseorang yang mengalami gangguan bipolar, bisa sampai pada taraf ia merasa tidak perlu tidur berhari-hari tanpa merasa lelah, dan pemurungnya bisa membuatnya ia tidak keluar kamar serta tidak berbicara berhari-hari.\u003c/p\u003e\n\u003cp\u003eMengenai pertanyaan Anda, seseorang bisa menyadari ataupun tidak menyadari bahwa mereka mengalami gangguan bipolar. Hal ini karena gejala gangguan bipolar tidak selalu se-ekstrem yang kami contohkan sebelumnya. Bisa saja kondisinya jauh lebih ringan, terjadi bertahun-tahun, dan bertambah parah tanpa mereka sadari, sehingga mereka merasa bahwa itu normal. Bisa juga mereka tidak menyadarinya lebih karena penyangkalan. Sementara bagi yang menyadarinya, itu biasanya karena mereka merasa kaget akan perubahan sikap dirinya yang diceritakan orang lain pada mereka, saat mereka sedang berada di suasana hati yang 'normal'.\u003c/p\u003e\n\u003cp\u003eMaka mengenai teman Anda, tidak ada cara untuk bisa mengetahui kondisinya dengan tepat tanpa memeriksakannya secara langsung, baik itu dengan pergi ke psikolog atau psikiater. Cara memberitahunya bisa berbeda-beda pada tiap orang, karena ada orang yang menyangkal akan kondisi dirinya, dan ada yang menerima. Ada yang lebih menurut pada anjuran teman dekat, ada yang lebih menuruti orangtua, kekasih, dan ada yang sangat tergantung dengan kondisi hatinya ketika itu. Sehingga jika Anda tidak terlalu mengenal teman Anda untuk tahu cara yang tepat menyampaikannya, setidaknya sampaikan pada orang terdekatnya, bisa berupa orangtua, pasangan atau sahabatnya, agar ia tidak merasa tersinggung dan semakin menyangkal. Sekian, semoga menjawab pertanyaan Anda.\u003c/p\u003e\n\n""","14 Juni 2023, 16:05",dr. Amadeo Drian Basfiansa
bipolar,https://www.alodokter.com/komunitas/topic/penyebab-dari-terjadinya-emosi-yang-tidak-stabil-,Penyebab dari terjadinya emosi yang tidak stabil ,"""\u003cp\u003eSaya belakangan ini merasa emosi saya tidak stabil banget dok, saya mudah marah, mudah sedih dan tau\"" senang lagi kaya gada apa\"" dok.. penyebabnya apa ya ini tuh dok?\u003c/p\u003e""","19 Juni 2023, 14:43","""\n\n\u003cp\u003eAlo, selamat malam\u003c/p\u003e\n\u003cp\u003esetiap orang pasti pernah merasa emosi atau marah hal ini normal terlebih ketika dihadapkan oleh persoalan hidup. jadi perasaan yang anda alami hal yang wajar dan normal saja jika memang ada pemicunya dan terjadi sesekali. serta sebenarnya emosi dan perasaan mood anda bisa anda kendalikan jika anda berusaha mengatasinya. namun jika perubahan mood anda alami tiba-tiba tanpa ada pemicunya, dialami berkepanjangan maka kondisi ini bisa menjadi gangguan psikologis seperti gangguan bipolar, depresi, gangguan keperibadian dan lainnya.\u003c/p\u003e\n\u003cp\u003euntuk mengendalikan emosi anda ada beberapa tips bisa anda lakukan seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003etarik napas yang dalam dan lambat ulangi hingga merasa tenang\u003c/li\u003e\n\u003cli\u003emelakukan olahraga\u003c/li\u003e\n\u003cli\u003ecari kata-kata yang menengangkan anda\u003c/li\u003e\n\u003cli\u003eberhitung dari 1 hingga 10\u003c/li\u003e\n\u003cli\u003ecurhat sama teman atau kelurga yang anda percaya akan kondisi anda alami agar beban bisa berkurang\u003c/li\u003e\n\u003cli\u003ekelola stres dengan melakukan meditasi atau yoga\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003ejika sudah melakukan tips diatas, perubahan mood terus anda alami tanpa penyebabnya dan menganggu aktivitas anda maka anda bisa melakukan konsultasi ke \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003epsikolog\u003c/a\u003e lebih lanjut untuk mendapatkan pemeriksaan dan penanganan yang lebih tepat.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","19 Juni 2023, 19:19",dr. Riza Marlina
bipolar,https://www.alodokter.com/komunitas/topic/apakah-penyakit-bipolar-pada-remaja-15-tahun-bisa-sembuh-,Apakah penyakit bipolar pada remaja 15 tahun bisa sembuh?,"""\u003cp\u003eDokter numpang tanya, saya punya adik usia remaja 15 tahun. Adik saya udah 4 bulan ini menunjukkan gelagat aneh, dia mengalami mood swing parah dok, dari yang tadinya happy tiba2 berubah drastis sedih dan pemarah, kadang juga dia terlihat sangat energik, dan penuh kegirangan. saya coba suruh dia konsul ke temen saya yg ahli psikologi. dia didiagnosis mengalami bipolar, Apakah bipolar bisa disembuhkan dok? dan penangannya seperti apa dokter?\u003c/p\u003e""","14 Agustus 2023, 13:55","""\n\n\u003cp\u003eAlo, selamat malam\u003c/p\u003e\n\u003cp\u003egangguan bipolar ialah gangguan mental yang ditandai dengan perubahan drastis pada suasana hati. dimana penderita ini bisa merasa sangat gembira kemudian berubah menjadi sangat sedih. penyebab gangguan bipolar belum diketahui secara pasti. namun kondisi ini diduga terjadi akibat faktor genetik selain itu faktor lingkungan sekitar dan gaya hidup juga dapat meningkatkan resiko terjadinya bipolar. gejala utama gangguan bipolar ialah perubahan suasana hati yang drastis yang dimana perubahan ini bisa terjadi dalam hitungan jam, hari atau bulan.\u003c/p\u003e\n\u003cp\u003ebipolar perlunya penanganan ke pskiater untuk mendapatkan pengobatan yang dimana bertujuan untuk meredakan gejala, membantu penderita agar bisa kembali beraktivitas serta menurunkan resiko terjadinya gangguan kesehatan lain. untuk mencegah bipolar kambuh rutin konsumsi obat, hindari konsumsi alkohol, kelola stres, istirahat yang cukup serta menjaga hubungan baik dengan keluarga dan teman. jadi sebaiknya temui\u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003e dokter pskiater\u003c/a\u003e agar mendapatkan obat yang tepat sesuai kondisi si penderita.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","14 Agustus 2023, 18:38",dr. Riza Marlina
bipolar,https://www.alodokter.com/komunitas/topic/apakah-perbedaan-antara-gejala-bipolar-dan-perubahan-mood-,Apakah perbedaan antara gejala bipolar dan perubahan mood?,"""\u003cp\u003eAlodok, saya di diagnosa bipolar, tetapi saya tidak merasa seperti itu. Dan rasanya aneh saja, memang ketika saya tidak minum obat, saya bisa merasa sangat down selama seminggu atau lebih dan 3-4 harian saya akan merasa normal. Tetapi ketika minum obat saya mengalami mood swing yang sangat mendadak dan sering, apakah saya benar2 bipolar? apakah perbedaan bipolar dengan perubahan mood biasa dok?\u003c/p\u003e""","18 Desember 2023, 13:00","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMood (suasana hati) wajar saja berubah-ubah dipengaruhi oleh beragam faktor, seperti aktifitas yang dijalani, kondisi hormonal, dukungan dari lingkungan, jenis kepribadian, dan sebagainya. Pada kondisi yang normal, perubahan mood ini terjadi tidak terlalu signifikan sehingga masih memungkinkan Anda untuk mengendalikannya dan menjalani fungsi diri Anda sebagaimana mestinya. Sebaliknya, jika perubahan mood ini terjadi terlalu drastis, apalagi sampai menyebabkan gejala yang mengganggu (seperti terus mengurung diri, sering menangis, menyalahkan terus diri sendiri saat depresi, lantas bicara menggebu-gebu, tidak bisa diam, seperti tidak pernah kehabisan energi saat euforia), tentu hal ini tidak bisa lagi dikatakan wajar. Biasanya, kondisi seperti yang terakhir ini muncul karena gangguan mood, bisa \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e, gangguan siklotimik, atau lainnya.\u003c/p\u003e\n\u003cp\u003eYang lebih tepat mendiagnosis kondisi yang Anda alami tentulah ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-umum\""\u003edokter\u003c/a\u003e, \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e, atau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eyang memeriksa Anda langsung. Sebab tidak jarang, orang yang mengalami suatu gangguan mood, tidak sadar bahwa dirinya memang memiliki gangguan tersebut. Dengan pemeriksaan yang obyektif oleh ahlinya, tentu kondisi Anda bisa ditangani dengan tepat.\u003c/p\u003e\n\u003cp\u003eKondisi Anda yang merasa keluhan malah memburuk dengan pengobatan bisa jadi bukan melulu disebabkan oleh pengobatannya yang tepat. Mungkin juga, hal ini menandakan reaksi kerja obatnya yang belum optimal, penanganan yang kurang komprehensif, ada gangguan kejiwaan lain yang dimiliki, lingkungan yang tidak kondusif, dan sebagainya. Dalam menyikapi hal ini, baiknya Anda balik memeriksakan diri ke dokter ya..\u003c/p\u003e\n\u003cp\u003eSembari itu, langkah berikut bisa Anda lakukan agar kondisi Anda membaik:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eBiasakan beraktifitas secara teratur setiap harinya, sibukkan diri Anda menjalani beragam aktifitas positif\u003c/li\u003e\n\u003cli\u003eBergaulah dengan teman-teman yang mendukung perkembangan diri Anda\u003c/li\u003e\n\u003cli\u003eJangan menghabiskan terlalu banyak waktu untuk mengurung diri atau berkhayal tak tentu arah\u003c/li\u003e\n\u003cli\u003eJauhkan juga diri Anda dari NAPZA dan alkohol\u003c/li\u003e\n\u003cli\u003eDisiplin menerapkan gaya hidup yang sehat\u003c/li\u003e\n\u003cli\u003eDekatkan lagi diri Anda pada Tuhan YME, yakinlah bahwa tidak ada yang kekal di dunia ini, termasuk juga sumber kesenangan dan kesedihan Anda, jadi sikapilah dengan wajar\u003c/li\u003e\n\u003cli\u003ePerbanyak relaksasi dan meditasi, jangan stres berlebihan\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","18 Desember 2023, 17:02",dr. Nadia Nurotul Fuadah
