topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
bunuh diri,https://www.alodokter.com/komunitas/topic/cara-tepat-menghadapi-orang-yang-mencoba-bunuh-diri,Cara tepat menghadapi orang yang mencoba bunuh diri,"""\u003cp\u003eAlodokter, mau tanya untuk penyakit yg dialami oleh sepupu saya. dia tiap hari terkena mood swing. Dia laki laki umur nya 29 tahun. Perasaan khawatir berlebihan ini sering datang di malam hari. dan dia berkata pernah mau loncat dari gedung ada yg bisikin. Dia ingin sembuh dari penyakit ini. soalnya berkali kali pengen bunuh diri, Apa yg harus saya lakukan untuk membantu si penderita ? Bagaimana cara yg tepat, untuk penderita bisa sembuh ? Terimakasih\u003c/p\u003e""","30 Oktober 2023, 11:16","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eKondisi seseorang yang suasana hatinya tidak stabil (mood swing), bahkan kerap melakukan tindakan bunuh diri karena merasa ada yang membisikkannya, tidak bisa lagi dianggap normal. Besar kemungkinan, kondisi ini terjadi akibat suatu gangguan kejiwaan, misalnya \u003ca href=\""https://www.alodokter.com/ptsd\""\u003egangguan stres pasca trauma\u003c/a\u003e, \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e, gangguan \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi\u003c/a\u003e, gangguan psikotik terkait penyalahgunaan NAPZA, skizofrenia, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eKondisi seperti ini perlu mendapat penanganan optimal, langsung dari ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e. Sebab itu, sebelum parah, sepupu Anda sebaiknya didampingilah periksa ke fasilitas kesehatan terdekat ya..\u003c/p\u003e\n\u003cp\u003eSementara ini, yang bisa Anda lakukan yakni:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eBantu tenangkan pikirannya, jangan dibebani dengan terlalu banyak masalah\u003c/li\u003e\n\u003cli\u003eIngatkan ia agar lebih mendekatkan diri dengan Tuhan YME, bersabarlah atas ujian yang diberikan, bersyukurlah atas nikmat yang didapat, jangan lelah memperbaiki diri menjadi hamba yang lebih baik\u003c/li\u003e\n\u003cli\u003eIngatkan ia agar memperbaiki interaksinya dengan keluarga, sahabat, dan lingkungan di sekitarnya, jangan sungkan meminta bantuan jika ada masalah yang sulit dihadapi sendiri\u003c/li\u003e\n\u003cli\u003eArahkan ia untuk mengisi hari-hari dengan beragam kegiatan positif, seperti bekerja, berolahraga, bermeditasi, berorganisasi, dan sebagainya\u003c/li\u003e\n\u003cli\u003eIngatkan ia agar tidak banyak mengurung diri, meratapi nasib, menyalahkan diri, atau berkhayal tak tentu arah\u003c/li\u003e\n\u003cli\u003eBantu pilihkan ia lingkungan pergaulan yang baik, jauhkan ia dari NAPZA dan seks bebas\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","30 Oktober 2023, 17:05",dr. Nadia Nurotul Fuadah
bunuh diri,https://www.alodokter.com/komunitas/topic/apa-saja-syarat-euthanasia--bunuh-diri-yang-diperbolehkan-,Apa saja syarat Euthanasia/ bunuh diri yang diperbolehkan?,"""\u003cp\u003ePermisi dok, saya mau bertanya, dok bunuh diri yang diperbolehkan / Euthanasia. kategori orang yg boleh itu seperti apa dokter? mohon pencerahannya? dan harus kemana yang menyediakan jasa seperti itu?\u003c/p\u003e""","15 Mei 2024, 09:08","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/euthanasia-ketika-mengakhiri-hidup-dianggap-sebagai-jalan-keluar\""\u003eEuthanasia \u003c/a\u003esejatinya tidak selalu berarti \u003ca href=\""https://www.alodokter.com/percobaan-bunuh-diri\""\u003ebunuh diri\u003c/a\u003e. Secara medis,euthanasia diartikan sebagai tindakan mengakhiri hidup seseorang dengan sengaja untuk menghilangkan penderitaannya. Biasanya,euthanasia bisa dijadikan pilihan penanganan pada kasus-kasus tertentu, seperti penderita penyakit mematikan yang tidak bisa lagi disembuhkan atau menyebabkan keluhan yang sangat menyiksanya.\u003c/p\u003e\n\u003cp\u003eTentu,euthanasia tidak bisa semudah itu dilakukan. Di Indonesia sendiri,euthanasia masih dianggap ilegal, sehingga bisa menyebabkan orang yang melakukan dan memfasilitasinya bisa mendapat hukuman pidana yang tidak ringan. Secara etis pun (berdasarkan Kode Etik Kedokteran Indonesia),euthanasia dinilai menyimpang sehingga dokter dilarang keras melakukannya, atas alasan apapun.\u003c/p\u003e\n\u003cp\u003eKeinginan untuk menjalanieuthanasia ataupun bunuh diri biasanya timbul karena kondisi psikis yang tertekan, baik karena penyakit yang diderita atau juga masalah kehidupan lainnya. Pada beberapa kasus, bisa juga hal ini mengindikasikan suatu gangguan kejiwaan, contohnya depresi, gangguan stres pasca trauma, skizofrenia paranoid, dan sebagainya. Karena itu, hal ini sebaiknya disikapi dengan bijak, yakni dengan berkonsultasi langsung dengan ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e, agar mendapat arahan penanganan yang terbaik.\u003c/p\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","15 Mei 2024, 18:10",dr. Nadia Nurotul Fuadah
bunuh diri,https://www.alodokter.com/komunitas/topic/tidak-bisa-move-on-dari-masalah,Merasa sedih dan ingin bunuh diri setelah kehilangan hewan kesayangan dan ada masalah keluarga,"""\n\n\u003cp\u003eHalo dok saya seorang pelajar berumur 17 tahun, beberapa bulan yang lalu saya kehilangan hewan kesayangan saya, disitu saya merasakan sangat sedih sampai seperti ingin memberontak. Saya pikir kesedihan saya akan mereda dalam beberapa minggu, ternyata sudah 2 bulan lebih berlalu, kesedihan saya tidak berkurang, ketika saya lepas dari hp saya, saya pasti menangis ditambah lagi masalah masalah keluarga yang belum beres sampai sekarang. Ada sesekali perasaan ingin bunuh diri, karena saya berpikir itu adalah cara agar semua masalah bisa berakhir, apakah ini masih normal dok? Saya tidak berani cerita ke orang tua saya.\u003c/p\u003e\n""","25 Oktober 2021, 14:45","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eBagi sebagian orang, hewan peliharaan memang memiliki tempat yang sangat spesial, sehingga memicu kesedihan yang amat dalam jika terjadi hal yang tidak diinginkan, misalnya saat hewan tersebut hilang, meninggal, atau sakit. Namun sewajarnya, orang yang bijak akan mampu menyikapi kesedihan ini dengan bijak, sehingga tidak terjadi berkepanjangan, apalagi sampai menimbulkan pikiran yang mengganggu seperti ingin bunuh diri. Jika kondisi ini Anda alami kemungkinan pencetusnya bukan lagi hal yang wajar, melainkan sudah menjurus pada suatu gangguan kejiwaan, seperti \u003ca href=\""https://www.alodokter.com/ptsd\""\u003egangguan stres pasca trauma\u003c/a\u003e, gangguan \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi\u003c/a\u003e, gangguan siklotimik, gangguan bipolar, skizofrenia, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eSaran kami, Anda periksalah langsung ke dokter atau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eterdekat supaya kondisi Anda bisa ditangani dengan tepat. Bila dinilai kondisi Anda berat, dokter bisa jadi akan juga memberikan Anda obat atau melakukan psikoterapi dan modalitas terapi lain.\u003c/p\u003e\n\u003cp\u003eDi rumah, yang bisa Anda lakukan saat ini adalah:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ePerdekat hubungan Anda dengan Tuhan YME. Pahami bahwa semua yang terjadi di hidup Anda adalah atas kuasa-Nya. Yakini bahwa semua takdir dari Tuhan adalah yang terbaik.\u003c/li\u003e\n\u003cli\u003eSaat sedang ada masalah, jangan diratapi berlebihan, bersabarlah, berfokus mencari solusinya, jangan menyalahkan siapapun, introspeksi diri dan perbaiki jika ada yang salah dalam diri Anda\u003c/li\u003e\n\u003cli\u003eJangan terlalu banyak mengurung diri, berkhayal yang tidak-tidak\u003c/li\u003e\n\u003cli\u003eAlihkan kesedihan Anda dengan melakukan aktifitas lain yang lebih produktif, termasuk dengan belajar, bekerja, berolahraga, dan sebagainya\u003c/li\u003e\n\u003cli\u003ePerbaiki hubungan Anda dengan keluarga, sahabat, dan lingkungan sekitar Anda\u003c/li\u003e\n\u003cli\u003eMinta saran dari orang yang Anda rasa bijak agar hati lebih tenang\u003c/li\u003e\n\u003cli\u003eJauhkan diri Anda dari rokok, NAPZA, dan alkohol supaya bisa tetap berpikir jernih\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","25 Oktober 2021, 18:32",dr. Nadia Nurotul Fuadah
bunuh diri,https://www.alodokter.com/komunitas/topic/ketika-dapat-tekanan-dan-merasa-terabaikan-ingin-bunuh-diri,"Berpikiran untuk bunuh diri ketika depresi, mendapat tekanan, dan terabaikan","""\n\n\u003cp\u003eSelamat mlm dok, sya sudah menjadi ibu dan istri. Jd ketika saya depresi, mendapat tekanan, mendapat cacian dan merasa terabaikan dari seseorang yg saya sayangi entah kenapa ingin sekali saya berfikir untuk mati dan bunuh diri, bahkan saya juga sudah pernah mencoba untuk bunuh diri, jd saya harus bagaimana dok?\u003c/p\u003e\n""","26 Maret 2021, 23:52","""\n\n\u003cp\u003eAlo, terima kasih sudah bertanya kepada alodokter, saya dr. Ainul\u003c/p\u003e\n\u003cp\u003eSetiap manusia memiliki masalah yang memungkinkan men jadi lebih baik, akan tetapi jika masalah tersebut berlarut-larut dan cara mengatasinya kurang tepat maka mungkin saja dapat menyebabkan keluhan yang anda alami, kepribadian emosi tidak stabil, gangguan depresi, self injury,\u003c/p\u003e\n\u003cp\u003eUntuk dapat menentukan keluhan yang anda alami secara tepat diperlukan wawancara secara mendalam pemeriksaan fisik dan pemeriksaan penunjang sebaiknya \u003cstrong\u003esegera\u003c/strong\u003e kunjungi dokter psikiatri. Hal yang dapat dilakukan di rumah. Meyakini hal yang terjadi pada anda tidaklah tepat dan dapat merugikan diri sendiri menjalani aktivitas sehari-hari di rumah maupun di masyarakat hindari menyendiri batasi penggunaan gadget istirahat teratur tidur 6-8 jam sehari makan makanan yang sehat dan bergizi seimbang menjaga kebersihan badan berkeluh kesah kepada orang yang terdekat dan terpercaya seperti psikolog atau \u003ca href=\""https://www.alodokter.com/cari-dokter/kategori\""\u003epsikiater\u003c/a\u003e dan melakukan \u003ca href=\""https://www.alodokter.com/search?s=Relaksasi\""\u003erelaksasi\u003c/a\u003e diri semoga membantu\u003c/p\u003e\n\n""","27 Maret 2021, 09:10",dr. Muhammad Ainul Rohman F
bunuh diri,https://www.alodokter.com/komunitas/topic/depresic88f23,Apakah orang yang merasa ingin bunuh diri sejak kecil disebut memiliki depresi?,"""\n\n\u003cp\u003eDok, apakah di sebut memiliki depresi jika orang merasa ingin bunuh diri sejak usia 8 tahun dan ingin melakukannya lagi di usia 23 tahun?\u003c/p\u003e\n""","30 Desember 2021, 20:10","""\n\n\u003cp\u003eTerima kasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/depresi\""\u003eDepresi\u003c/a\u003e merupakan salah satu gangguan mental dimana terjadi gangguansuasana hati (\u003cem\u003emood\u003c/em\u003e) berupa perasaan sedih mendalam serta tidak peduli. Seseorang dikatakan mengalami depresi apabila gejala yang dirasakan sudah berlangsung selama 2 minggu seperti sedih, putus harapan, dan sebagainya. Depresi yang tidak mendapatkan penanganan lebih lanjut dapat menyebabkan gangguan pada aktivitas sehari-hari dan pada tahap yang berat menimbulkan keinginan\u003ca href=\""https://www.alodokter.com/percobaan-bunuh-diri\""\u003ebunuh diri\u003c/a\u003e.\u003c/p\u003e\n\u003cp\u003eGejala yang dirasakan pada seseorang yang mengalami depresi seperti khawatir berlebihan, emosi tidak stabil, putus asa dan sebagainya. Sedangkan gejala fisik yang dapat dialami berupa selalu merasa lelah, tidak bertenaga, pusing, tidak mau makan, menyendiri, dan sebagainya. Depresi dapat disebabkan oleh beberapa faktor seperti mengalami trauma, memiliki penyakit serius, konsumsi obat-obatan tertentu, dan sebagainya, memiliki masalah keluarga, dan sebagainya. Pada depresi perlu segera diberikan penanganan dan mencari pertolongan baik oleh psikolog atau psikiater. Pada pemeriksaan dokter akan menanyakan gejala, melakukan pemeriksaan fisik, serta untuk mengurangi keluhan dapat diberikan pengobatan misalnya psikoterapi, memberikan obat-obatan, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eOleh sebab itu sebaiknya segera mencari pertolongan agar keluhan tidak memberat. Selain itu dapat melakukan hobi, mengobrol dengan teman-teman, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eTerima kasih, semoga membantu.\u003c/p\u003e\n\n""","30 Desember 2021, 20:49",dr. Riska Larasati
bunuh diri,https://www.alodokter.com/komunitas/topic/curhat-dok--,Cara mengatasi rasa ingin bunuh diri,"""\n\n\u003cp\u003eDok, aku gak percaya Tuhan itu ada, kalau ada kenapa aku diperkosa bergiliran, orang2 yg aku sayangi pergi meninggalkan ku, aku sendirian, percuma percaya kalau Tuhan itu ada, tapi kenyataannya aku sakit, sakit hati jiwa dan raga, semua ninggalin aku, aku mau mati aja dok,, aku sendirian, mati sekarang atau besok sama aja, cuma caranya aja yg beda, lagipula nenekku yg udah ninggal malah sekarang ngajak aku pulang,, aku pen ikut nenek pulang, katanya di kehidupan lain ia bahagia, dan gantung diri enggak sakit,,🥺\u003c/p\u003e\n""","6 Juli 2021, 06:12","""\n\n\u003cp\u003eTerima kasih atas pertanyaannya di Alodokter.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMasalah dalam hidup dapat menyebabkan guncangan bagi psikis atau kejiwaan kita. Kesehatan psikis sama pentingnya dengan fisik, sehingga tidak bisa disepelekan.\u003c/p\u003e\n\u003cp\u003eDari yang Anda sampaikan terdapat gejala \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi\u003c/a\u003e, berupa merasa ditinggalkan oleh semua orang, sendirian, dan keinginan untuk bunuh diri. Adanya keinginan bunuh diri merupakan tanda dari depresi berat dan hal ini \u003cstrong\u003esebaiknya segera dikonsultasikan secara langsung pada \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003edokter spesialis kedokteran jiwa (psikiater/Sp.KJ)\u003c/a\u003e\u003c/strong\u003e. Dokter mungkin akan memberikan psikoterapi dan juga beberapa obat yang diperlukan. Coba terapkan gaya hidup yang sehat, seperti tidur cukup (8 jam), melakukan relaksasi, olah raga teratur, membatasi penggunaan media sosial, dan memperbanyak ibadah.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","6 Juli 2021, 21:14",dr. Caroline
bunuh diri,https://www.alodokter.com/komunitas/topic/bunuh-diri-yang-diperbolehkan-dan-seperti-apa-caranya-,Bunuh diri yang diperbolehkan dan seperti apa caranya?,"""\u003cp\u003eDokter saya pernah liat film ada orang koma dan hanya memerlukan alat bantu agar bisa bertahan hidup. katanya bisa di suntik mati. kalau saya orang yg sehat2 saja, udah capek untuk menjalani hidup. kira-kira butuh diri yang diperbolehkan itu pakai cara apa dok?\u003c/p\u003e""","22 Mei 2024, 07:39","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003eSuntik mati atau euthanasia ialah salah satu tindakan medis yang bertujuan dalam menghilangkan nyawa seseorang, umumnya dilakukan untuk menghilangkan penderitaan seseorang, termasuk disebabkan oleh penyakit yang tidak bisa di obati, prosedur ini masih menimbulkan pro dan kotra di beberapa negara, untuk indonesia tindakan ini merupakan suatu tergolong ilegal dan menjadi salah satunya ancaman pidana, dari sisi medis dokter juga dilarang untuk melakukan tindakan ini karena sudah diatur oleh kode etik kedokteran indonesia.\u003c/p\u003e\n\u003cp\u003eBunuh diri merupakan tindakan sesorang untuk mengakhiri hidupnya yang dimana kondisi ini berkaitan dengan masalah kesehatan mental seperti depresi salah satunya, tidak ada cara yang diperbolehkan untuk melakukan tindakan bunuh diri, namun cara yang tepat ialah mengatasi gangguan psikis yang anda alami, dengan menemui psikolog atau dokter piskiater, jika anda mempunyai masalah hingga anda merasa lelah dan ingin mengakhiri hidup anda saja, sebaiknya temui orang profesional seperti psikolog atau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003epsikiater\u003c/a\u003e yang dimana anda bisa cerita dan akan diberikan solusi dan obatan hingga terapi untuk mengatasi gangguan dan perasaan yang mengganggu anda sehingga meredakan pikiran anda untuk ingin bunuh diri.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","22 Mei 2024, 10:39",dr. Riza Marlina
bunuh diri,https://www.alodokter.com/komunitas/topic/apa-yang-saya-alami-dan-bagaimana-pengobatanny--,"Berpikiran untuk bunuh diri, melukai diri sendiri, tidak bisa mengontrol marah, pusing, dan sulit berkonsentrasi","""\n\n\u003cp\u003eAssalamu'alaikum dok, sy selalu mersa berslah dan sedih tanpa sebab. Sy gak tau apa tujuan hidup sy, kdng sy berfikir untuk bunuh diri, suka ngelukain diri sendiri, sy juga gak bisa ngontrol marah sy krna hal kecil sy bisa marah, sering mersa pusing dan sulit berkonsentrasi. Udh hampir 2 tahun sy merasakan ini. Sebenarnya sy gak tau apa penyebab sy mengalami ini\u003c/p\u003e\n""","24 Desember 2020, 00:35","""\n\n\u003cp\u003eAlo Syifa, Terima kasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003eGejala sedih berkepanjangan dapat disebabkan oleh \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi\u003c/a\u003e. Selain sedih berkepanjangan, gejala lain yang dapat Anda alami adalah hilang ketertarikan pada hal yang biasanya Anda sukai, measa bersalah, sulit tidur, nafsu makan menurun, sulit berkonsentrasi, bahkan ada keinginan untuk menyakit diri sendiri atau bunuh diri. Agar dapat didiagnosis sebagai depresi, gejala tersebut harus dialami selama minimal 2 minggu setiap hari. Penyebab depresi biasanya multifaktorial. Selain depresi, gejala yang Anda alami juga dapat disebabkan oleh \u003ca href=\""https://www.alodokter.com/ketahui-cara-mengatasi-gangguan-kecemasan\""\u003egangguan kecemasan\u003c/a\u003e, \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e, atau \u003ca href=\""https://www.alodokter.com/bpd-borderline-personality-disorder\""\u003egangguan kepribadian ambang (\u003cem\u003eborderline personality disorder\u003c/em\u003e)\u003c/a\u003e.\u003c/p\u003e\n\u003cp\u003eApabila gejala ini sudah berlangsung selama 2 tahun, sebaiknya Anda segera berkonsultasi dengan dokter spesialis jiwa/ psikiater terdekat dulu. Dokter perlu melakukan tanya jawab pada Anda untuk mengetahui keluhan dan kondisi Anda untuk memastikan penyebabnya. Dari tanya jawab ini dokter akan memberikan penanganan lebih lanjut berupa terapi psikologis atau obat-obatan. Sementara itu, beberapa hal yang dapat coba Anda lakukan adalah:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003emenyibukkan diri dengan aktivitas sehari-hari Anda\u003c/li\u003e\n\u003cli\u003ecoba mencari kegiatan baru setiap harinya\u003c/li\u003e\n\u003cli\u003ecoba buat catatan mengenai hal positif apa yang terjadi selama ini sekecil apapun itu\u003c/li\u003e\n\u003cli\u003esilakan bercerita pada orang terdekat Anda mengenai apa yang Anda pikirkan atau rasakan\u003c/li\u003e\n\u003cli\u003eberolahraga teratur setiap hari\u003c/li\u003e\n\u003cli\u003emencoba mengikuti yoga atau meditasi\u003c/li\u003e\n\u003cli\u003ejika keinginan bunuh diri muncul, coba segera alihkan pikiran dengan merobek kerta atau mengoleskan losion ke tubuh Anda berulang kali\u003c/li\u003e\n\u003c/ul\u003eNamun, jika keinginan bunuh diri ini sulit dihilangkan, jangan ragu utuk segera memeriksakan diri ke IGD terdekat, ya.\u003cbr\u003eSemoga membantu.\n""","24 Desember 2020, 09:33",dr. Aloisia Permata Sari 
bunuh diri,https://www.alodokter.com/komunitas/topic/gejala-depresiabd353,"Ingin bunuh diri dan melakukan tindakan menyakiti diri, apakah gejala depresi?","""\n\n\u003cp\u003ejika seseorang tidak mengalami perubahan pola tidur dan makan yang drastis, tetapi seringkali ingin bunuh diri dan melakukan tindakan menyakiti diri, apakah seseorang itu mengalami gejala dari depresi? apakah harus ke terapis?\u003c/p\u003e\n""","25 Oktober 2021, 20:26","""\n\n\u003cp\u003eAlo Maria Qibtiyani, saya dr. Tirta. Wijaya. Terima kasih sudah bertanya ke Alodokter.\u003cbr\u003e Ada banyak kondisi yang dapat ditandai dengan self harm dan suicidal thoughts, antara lain:\u003cbr\u003e\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eDepresi, bipolar disorder, kelainan kecemasan, schizophrenia\u003c/li\u003e\n\u003cli\u003ePenyalahgunaan substansi seperti alkohol, narkoba\u003c/li\u003e\n\u003cli\u003ePenderita penyakit kronis tertentu, misalnya asma, psoriasis, migraine, diabetes, dll.\u003c/li\u003e\n\u003c/ul\u003eTidak semua orang yang melakukan self harm atau memiliki pikiran untuk bunuh diri memenuhi kriteria diagnosis depresi; ada beberapa tanda dan gejala lain yang diderita pasien depresi.\u003cbr\u003e \u003cbr\u003e Namun apapun penyakitnya dan penyebabnya, seseorang yang melakukan self harm dan memiliki pikiran bunuh diri perlu segera mendapatkan bantuan tenaga kesehatan profesional seperti psikiater atau psikolog. Tanpa penanganan yang tepat waktu dan memadai, dikuatirkan gejala tersebut berkembang tak terkendali dan berakibat fatal.\u003cbr\u003e \u003cbr\u003e Berikut ini adalah beberapa hal yang dapat dilakukan:\u003cbr\u003e\u003cul\u003e\n\u003cli\u003ePenderita perlu ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e atau psikolog agar segera mendapatkan pertolongan.\u003c/li\u003e\n\u003cli\u003eBila menderita penyakit lainnya, pasien perlu berobat ke dokter untuk mengobati atau mengendalikan penyebabnya.\u003c/li\u003e\n\u003cli\u003ePenderita mungkin membutuhkan teman dan pendengar yang hadir di sisinya\u003c/li\u003e\n\u003c/ul\u003eDemikian penjelasan saya, semoga bermanfaat. Salam sehat selalu.\n\n""","26 Oktober 2021, 10:17","dr. Tirtawati Wijaya, SE"
bunuh diri,https://www.alodokter.com/komunitas/topic/tentan-psikologis-saya,"Sering ingin bunuh diri, sulit percaya pada siapa pun, dan menahan emosi","""\n\n\u003cp\u003eHalo dok jadi begini, saya dari dulu ingin bunuh diri apalagi saat saya putus sekolah saya sering ingin bunuh diri dendam dan sulit percaya siapa pun dan sampai sekarang begitu trus dan semakin parah terkadang saya tiba\"" senang tiba\"" sedih marah dan selalu membayakan balas dendam dengan cara menusuk perut orang dan membakar nya. Saya juga kadang berfikir untuk bunuh diri dengan cara menembakan kepala saya sampai hancur atau gantung diri, kalau mau marah atau sedih selalu saya tahan dan marah kadang saya tahan tapi pernah saya lampiaskan ke hewan, maaf jika banyak pertanyaan.\u003c/p\u003e\n""","17 Januari 2021, 23:32","""\n\n\u003cp\u003eAlo Riski, terima kasih ya sudah bertanya di Alodokter.\u003c/p\u003e\n\u003cp\u003eMembaca keluhan yang anda tuliskan diatas, dapat dikatakan bahwa memang kemungkinan besar terdapat gangguan pada sisi psikologis anda yang mana ada baiknya gangguan ini dikonsultasikan lebih lanjut ke dokter speaialia kejiwaan (psikiater) terlepas apapun kemungkinan diagnosanya dikarenakan kondisi anda sudah mengganggu kehidupan sosial anda dan juga berisiko menimbulkan bahaya pada lingkungan sekitar.\u003c/p\u003e\n\u003cp\u003eKondisi gangguan seperti ini juga memerlukan terapi dan pengawasan khusus oleh dokter spesialis, tidak disarankan untuk melakukan terapi alternatif atau bahkan berobat sendiri secara sembarangan.\u003c/p\u003e\n\u003cp\u003eBila anda kesulitan untuk menemui psikiater secara langsung, anda dapat mencoba melakukan konsultasi secara online melalui fitur chat langsung dengan psikiater di aplikasi Alodokter.\u003c/p\u003e\n\u003cp\u003eUntuk sementara ini, apabila anda mengalami keluhan-keluhan kembali, ada baiknya anda melampiaskan keluhan-keluhan tersebut kepada hal-hal yang lebih positif seperti olahraga, berdoa, meditasi dan lain-lain dibandingkan menyakiti diri sendiri atau orang lain dikarenakan hal tersebut tidak akan menyelesaikan permasalahan anda.\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","18 Januari 2021, 09:15",dr. Velika Devina
