topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/cara-mengatasi-gangguan-kepribadian-emosional-tidak-stabil-pada-wanita,Cara mengatasi gangguan kepribadian emosional tidak stabil pada wanita,"""\u003cp\u003eSaya perempuan usia 28 tahun. Sejak remaja saya sulit sekali mengontrol emosi, terutama saat mengingat kejadian lampau yang bikin sakit hati. Secara tidak langsung itu membuat saya jadi orang yang sangat berbeda. Apakah emosi tidak stabil itu merupakan gangguan kepribadian dok? gimana cara mengatasinya?\u003c/p\u003e""","18 Desember 2023, 07:48","""\n\n\u003cp\u003eAlo, selamat pagi\u003c/p\u003e\n\u003cp\u003eemosi ialah suatu kondisi perasaan yang muncul sebagai respon dari situasi atau stimulasi tertentu. yang mana melibatkan perubahan neurofisiologis yang berakitan dengan perilaku, perasaan dan pemikiran seseorang seperti rasa bahagia, sedih atau kecewa dengan sikap orang lain atau terhadap situasi tertentu. pada beberapa kondisi emosi dapat berubah secara mendadak kearah yang tidak stabil dan tidak terkontrol dimana kondisi ini dapat disebabkan oleh beragam hal seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eperubahan kadar hormon\u003c/li\u003e\n\u003cli\u003epola makan dan minum yang buruk seperti berlemak, tinggi gula, bertepung dan makanan yang mengandung penyedap, minuman berkafein dan alkohol\u003c/li\u003e\n\u003cli\u003ekurang tidur yang menyebabkan seseorang sangat lelah dan tertekan sehingga membuatnya cenderung mudah emosi.\u003c/li\u003e\n\u003cli\u003egangguan mental seperti \u003ca href=\""https://www.alodokter.com/depresi\""\u003edepresi d\u003c/a\u003ean gangguan \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003ebipolar\u003c/a\u003e\n\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003euntuk kondisi anda jika saat mengingat masa lampau yang sakit hati anda langsung berubah emosinya maka sebenarnya hal wajar karena merupakan respon alami, namun jika terjadi lebih sering dan berlebihan memang bisa mengarah hal yang tidak wajar. jadi saran saya untuk amati terlebih dahulu seperti coba ikhlaskan hal yang sudah terjadi di masa lalu, cari hikmah dari kejadian yang sudah anda dapat, tidak perlu mengingat masa lalu, atur masa sekarang anda dan kedepannya serta sibukan diri anda dengan hal yang positif. selain itu ada beberapa tips dibawah ini yang bisa anda lakukan seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003etidur yang cukup 7-9 jam tiap malam\u003c/li\u003e\n\u003cli\u003ebatasi konsumsi kafein dan alkohol\u003c/li\u003e\n\u003cli\u003ebatasi makanan yang tidak sehat\u003c/li\u003e\n\u003cli\u003ekelola stres dan cemas anda dengan melakukan\u003ca href=\""https://www.alodokter.com/teknik-relaksasi-untuk-mengatasi-kecemasan\""\u003e relaksasi\u003c/a\u003e\n\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003ejika sudah melakukan tips yang saya sebutkan namun emosi yang anda alami terus secara berlebihan tidak terkendali hingga menganggu produktifitas dan aktivitas anda, anda bisa temui \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003epsikolog \u003c/a\u003elebih lanjut untuk mendapatkan penanganan yang tepat.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","18 Desember 2023, 09:29",dr. Riza Marlina
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/ciri-ciri-orang-yang-mengalami-narcissistic-personality-disorder-dan-apa-solusinya-,Ciri-ciri orang yang mengalami narcissistic personality disorder dan apa solusinya?,"""\u003cp\u003eDok sekarang banyak konten yang membahas ttg narcissistic personality disorder di tiktok. saya seorang pria usia 21 th dan saya merasa diri saya istimewa kadang saya merasa jika saya sempurna, tidak peka sama lingkungan sekitar saya, Apakah dari situ saya udah bisa digolongkan orang yg terkena narcissistic personality disorder?\u003c/p\u003e""","9 Oktober 2023, 10:29","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003egangguan kepribadian narsitik ialah suatu kondisi ketika seseorang merasa dirinya lebih baik dari orang lain sehingga butuh dikagumi dan mendapatkan perhatian lebih. penderita narsistik umumnya terlihat sangat percaya diri namun hal tersebut sebenarnya untuk menutupi harga dirinya yang sangat rapuh serta dapat membuat penderitanya tidak bahagia atau kecewa jika tidak diperlakukan atau dipuji seperti yang di harapkan. kondisi ini dapat menimbulkan masalh bagi kehidupan, pekerjaan dan lingkup sosialnya.\u003c/p\u003e\n\u003cp\u003epenyebab kondisi ini ada beberapa faktor yang diduga terkait seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003efaktor genetik riwayat narsitik dalam keluarga\u003c/li\u003e\n\u003cli\u003efaktor lingkungan yaitu pola asuh orang tua yang terlalu memanjakan atau tidak memedulikan anak, trauma masa kecil\u003c/li\u003e\n\u003cli\u003efaktor neurobiologi yaitu hubungan antra otak dengan pola pikir dan perilaku\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003euntuk kondisi anda belum tentu mengalami gangguan kepribadian, merasa diri lebih baik wajar dialami selama itu tidak menganggu kehidupan sosial anda. namun jika sudah menganggu sebaiknya anda melakukan konsultasi lebih lanjut ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003epsikiater \u003c/a\u003ekarena bisa jadi anda mengalami gangguan mental berupa gangguan kepribadian. untuk mencegah anda mengalami gangguan kondisi ini sebaiknya untuk bersosialisi, berkumpul dengan teman atau keluarga, serta anda juga perlu sadari setiap orang memiliki kekurangan dan kelebihan masing-masing jadi cintai diri anda dan sayangi serta peduli dengan lingkungan anda.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","9 Oktober 2023, 13:43",dr. Riza Marlina
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/apakah-gangguan-kepribadian-narsistik-sama-dengan-gangguan-kejiwaan-,Apakah gangguan kepribadian narsistik sama dengan gangguan kejiwaan?,"""\u003cp\u003eSelamat siang dok.. saya mau tanya.. apakah gangguan kepribadian narsistik itu sama dengan gangguan kejiawaan? kalau gangguan kejiwaan kan ada obatnya ya seperti antipsikotik dari psikiater tapi kalau gangguan kepribadian narsistik itu bagaimana solusinya dok? mohon penjelasannya ya dok. terima kasih\u003c/p\u003e""","2 Mei 2024, 07:53","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/narsistik\""\u003eGangguan kepribadian narsistik \u003c/a\u003ememang merupakan salah satu jenis gangguan kejiwaan. Kondisi ini bisa membuat penderitanya merasa dirinya lebih baik dari orang lain, memiliki kepercayaan diri berlebihan, sehingga merasa butuh dikagumi dan diberi perhatian lebih, meski sejatinya upaya ini dilakukan untuk menutupi harga dirinya yang sangat rapuh. Imbasnya, penderita gangguan kepribadian narsistik akan menjadi lebih egois, minim empatinya terhadap orang lain, dan hal ini membuat interaksi sosialnya pun menjadi terganggu. Saat ia merasa tidak dikagumi atau diperhatikan oleh orang lain, ia pun bisa merasa kecewa atau tidak bahagia.\u003c/p\u003e\n\u003cp\u003eGejala yang ditunjukkan oleh penderita gangguan kepribadian narsistik bisa berbeda-beda, tergantung dari tingkat keparahannya. \u003cem\u003eNah\u003c/em\u003e, hal ini juga turut mempengaruhi jenis penanganan yang perlu diberikan nantinya, apakah cukup dengan terapi perilaku kognitif, terapi wicara, pemberian obat-obatan, dan sebagainya. Idealnya, penanganan ini dilakukan secara komprehensif agar hasil yang diperoleh pun optimal.\u003c/p\u003e\n\u003cp\u003eSebab itu, agar diberikan penanganan yang tepat, penderita gangguan kepribadian narsistik sepatutnya diajak berkonsultasi langsung dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","2 Mei 2024, 12:33",dr. Nadia Nurotul Fuadah
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/apa-itu-star-syndrome-dan-apa-ciri-ciri-penderitanya-,Apa itu star syndrome dan apa ciri-ciri penderitanya?,"""\u003cp\u003eSaya kerap menemui komen di ig artis yang sedang mengalami kontroversi, dan saya ketemu beberapa komen netijen bilang \""star syndrome\"" artinya itu apa sih dokter? dan apa saja ciri-cirinya? makasih ya dok atas penjelasannya.\u003c/p\u003e""","14 Juli 2023, 07:58","""\n\n\u003cp\u003eAlo, selamat pagi\u003c/p\u003e\n\u003cp\u003estar syndrome menggambarkan sekumpulan sikap dan perilaku saat seseorang biasa-biasa saja menganggap dirinya pusat perhatian sehingga terkesan seperti bintang. kondisi ini bukan penyakit mental namun sindrom ini bisa mengarah ke gejala gangguan kepribadian narsistik. penyebab terjadi kondisi ini belum diketahui namun kondisi ini bisa di picu oleh kombinasi pola asuh dan kondisi lingkungan.\u003c/p\u003e\n\u003cp\u003ekarena kondisi ini merupakan kumpulan gejala (sindrom), sikap dan prilaku yang muncul pada seseorang dengan\u003cem\u003estar syndrome\u003c/em\u003ebisa berbeda-beda. biasanya ada beberapa hal menjadi tanda seseorang mengalami star syndrome seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ememiliki rasa percaya diri yang berlebih sehingga merasa lebih unggul di bandingkan orang lain\u003c/li\u003e\n\u003cli\u003emerasa dirinya unik dan spesial\u003c/li\u003e\n\u003cli\u003ekecendrungan untuk\u003ca href=\""https://www.alodokter.com/deteksi-7-ciri-manipulasi-dan-ketahui-cara-menghadapinya\""\u003ememanipulasi\u003c/a\u003eorang lain untuk keuntungannya sendiri\u003c/li\u003e\n\u003cli\u003esering merasa iri dengan orang lain\u003c/li\u003e\n\u003cli\u003emerasa berhak mendapatkan perlakuan khusus\u003c/li\u003e\n\u003cli\u003ebersikap sombong, tidak mau menerima kritik, haus akan pujian dan sering merendakan orang lain\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003esebenarnya,seseorang yang mengalami\u003cem\u003estar syndrome \u003c/em\u003eyangmemiliki\u003cem\u003esupport system\u003c/em\u003eyang baik\u003cem\u003e,\u003c/em\u003emaka ia bisa dengan cepat diarahkan untuk tidak terlarut dengan kondisinya. jika ada orang terdekat mengalami hal ini bisa melakukan konsultasi ke\u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003e psikilog\u003c/a\u003e atau pskiater untuk mendapatkan pertolongan.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","14 Juli 2023, 11:03",dr. Riza Marlina
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/mood-swing-yang-berubah-cepat-apakah-termasuk-penyakit-kepribadian-ganda-,Mood swing yang berubah cepat apakah termasuk penyakit kepribadian ganda?,"""\u003cp\u003eDokter, apakah orang yang moodnya berubah-ubah, cepet banget, dari yang tiba2 sedih, tangisan sampai berderai-derai air mata. tiba-tiba dia bisa langsung berubah jadi ketawa-ketawa, dan seolah-olah gada apa-apa. saya melihatnya kok seperti aneh. apakah itu yang dinamakan penyakit gangguan kepribadian ganda dokter?\u003c/p\u003e""","17 Mei 2024, 07:29","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003ePerubahan suasana hatiyang sangat drastis dari yang sedih berlebihan menjadi senang berlebihan memang bisa mencirikan suatu \u003ca href=\""https://www.alodokter.com/gangguan-kepribadian\""\u003egangguan kepribadian\u003c/a\u003e, misalnya gangguan kepribadian ambang atau gangguan kepribadian disosiatif (kepribadian ganda). Namun bukan itu saja, kondisi seperti ini mungkin juga timbul akibat gangguan mental lainnya, seperti:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eGangguan bipolar\u003c/li\u003e\n\u003cli\u003eGangguan siklotimik\u003c/li\u003e\n\u003cli\u003eGangguan stres pasca trauma\u003c/li\u003e\n\u003cli\u003eSkizofrenia, dan sebagainya\u003c/li\u003e\n\u003c/ul\u003eSelain itu, bukan tidak mungkin juga, perubahan suasana hati tersebut masih merupakan bagian dari sikap yang wajar, hanya saja tampak berlebihan tergantung dari orang lain yang melihatnya.\u003cbr\u003e\u003cp\u003eDibutuhkan evaluasi yang komprehensif untuk menilai apakah penyebab pasti perubahan suasana hati tersebut, apakah masih wajar atau butuh penanganan khusus. Sebab itu, penderita bisa diajak berkonsultasi dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003esehingga bisa diberi arahan tatalaksana yang tepat untuk mengatasinya. Tergantung penyebab dan keparahannya, kondisi seperti yang Anda sebutkan bisa diatasi dengan beragam cara, seperti dengan pemberian obat-obatan, psikoterapi, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","17 Mei 2024, 15:00",dr. Nadia Nurotul Fuadah
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/apakah-perbedaan-antara-gejala-bipolar-dan-perubahan-mood-,Apakah perbedaan antara gejala bipolar dan perubahan mood?,"""\u003cp\u003eAlodok, saya di diagnosa bipolar, tetapi saya tidak merasa seperti itu. Dan rasanya aneh saja, memang ketika saya tidak minum obat, saya bisa merasa sangat down selama seminggu atau lebih dan 3-4 harian saya akan merasa normal. Tetapi ketika minum obat saya mengalami mood swing yang sangat mendadak dan sering, apakah saya benar2 bipolar? apakah perbedaan bipolar dengan perubahan mood biasa dok?\u003c/p\u003e""","18 Desember 2023, 13:00","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMood (suasana hati) wajar saja berubah-ubah dipengaruhi oleh beragam faktor, seperti aktifitas yang dijalani, kondisi hormonal, dukungan dari lingkungan, jenis kepribadian, dan sebagainya. Pada kondisi yang normal, perubahan mood ini terjadi tidak terlalu signifikan sehingga masih memungkinkan Anda untuk mengendalikannya dan menjalani fungsi diri Anda sebagaimana mestinya. Sebaliknya, jika perubahan mood ini terjadi terlalu drastis, apalagi sampai menyebabkan gejala yang mengganggu (seperti terus mengurung diri, sering menangis, menyalahkan terus diri sendiri saat depresi, lantas bicara menggebu-gebu, tidak bisa diam, seperti tidak pernah kehabisan energi saat euforia), tentu hal ini tidak bisa lagi dikatakan wajar. Biasanya, kondisi seperti yang terakhir ini muncul karena gangguan mood, bisa \u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003egangguan bipolar\u003c/a\u003e, gangguan siklotimik, atau lainnya.\u003c/p\u003e\n\u003cp\u003eYang lebih tepat mendiagnosis kondisi yang Anda alami tentulah ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-umum\""\u003edokter\u003c/a\u003e, \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e, atau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eyang memeriksa Anda langsung. Sebab tidak jarang, orang yang mengalami suatu gangguan mood, tidak sadar bahwa dirinya memang memiliki gangguan tersebut. Dengan pemeriksaan yang obyektif oleh ahlinya, tentu kondisi Anda bisa ditangani dengan tepat.\u003c/p\u003e\n\u003cp\u003eKondisi Anda yang merasa keluhan malah memburuk dengan pengobatan bisa jadi bukan melulu disebabkan oleh pengobatannya yang tepat. Mungkin juga, hal ini menandakan reaksi kerja obatnya yang belum optimal, penanganan yang kurang komprehensif, ada gangguan kejiwaan lain yang dimiliki, lingkungan yang tidak kondusif, dan sebagainya. Dalam menyikapi hal ini, baiknya Anda balik memeriksakan diri ke dokter ya..\u003c/p\u003e\n\u003cp\u003eSembari itu, langkah berikut bisa Anda lakukan agar kondisi Anda membaik:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eBiasakan beraktifitas secara teratur setiap harinya, sibukkan diri Anda menjalani beragam aktifitas positif\u003c/li\u003e\n\u003cli\u003eBergaulah dengan teman-teman yang mendukung perkembangan diri Anda\u003c/li\u003e\n\u003cli\u003eJangan menghabiskan terlalu banyak waktu untuk mengurung diri atau berkhayal tak tentu arah\u003c/li\u003e\n\u003cli\u003eJauhkan juga diri Anda dari NAPZA dan alkohol\u003c/li\u003e\n\u003cli\u003eDisiplin menerapkan gaya hidup yang sehat\u003c/li\u003e\n\u003cli\u003eDekatkan lagi diri Anda pada Tuhan YME, yakinlah bahwa tidak ada yang kekal di dunia ini, termasuk juga sumber kesenangan dan kesedihan Anda, jadi sikapilah dengan wajar\u003c/li\u003e\n\u003cli\u003ePerbanyak relaksasi dan meditasi, jangan stres berlebihan\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eSemoga membantu ya..\u003c/p\u003e\n\n""","18 Desember 2023, 17:02",dr. Nadia Nurotul Fuadah
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/bagaimanakah-cara-untuk-mengatasi-emosi-yang-berlebihan-,Bagaimanakah cara untuk mengatasi emosi yang berlebihan?,"""\u003cp\u003eTeman\"" saya bilang kalo saya ini punya emosi yg berlebihan, atau sering dibilang sumbu pendek dok. Saya mengakui memang emosi saya mudah meledak dan sulit dikontrol.. Saya takut suatu saat emosi yg berlbihan ini bisa berefek buruk untuk diri saya ataupun lingkungan sekitar saya dok.. bagaimana cara untuk mengatasi emosi yg berlebihan dok?\u003c/p\u003e""","28 Desember 2023, 13:11","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/cara-mengendalikan-emosi-agar-tidak-merugikan-diri-sendiri\""\u003eKetidakmampuan mengendalikan emosi \u003c/a\u003ememang bisa memicu dampak buruk, tidak hanya bagi Anda, namun juga orang di sekitar Anda. Hal ini akan membuat Anda dianggap sebagai sosok yang menakutkan, menyebalkan, sehingga membuat orang akan sulit menaruh hormat pada Anda nantinya. Bagi kesehatan pun, emosi yang meledak-ledak bisa menyebabkan gangguan tidur, perubahan nafsu makan, hormon terganggu keseimbangannya, imunitas menurun, hingga meningkatkan risiko hipertensi, penyakit jantung, dan beragam masalah kesehatan lainnya.\u003c/p\u003e\n\u003cp\u003eSebaiknya, Anda sadari dampak buruk ini sejak dini. Berikut saran kami untuk Anda:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eIntrospeksi diri, sadari apa yang salah dalam diri Anda, akui dan perbaiki agar tidak terulang, pahami bahwa tidak semua yang berlaku di dunia ini mesti menyesuaikan dengan harapan Anda, ketahui juga hak Anda akan berbenturan juga dengan hak orang lain yang wajib Anda hormati\u003c/li\u003e\n\u003cli\u003eBangun pikiran yang positif, hargai orang lain agar Anda pun akan juga dihargai, jangan mudah menyalahkan orang lain, perluas pergaulan Anda, jangan banyak mengurung diri\u003c/li\u003e\n\u003cli\u003eBuat diri Anda tenang, rajinlah beribadah, sempatkan melakukan hal-hal yang membuat Anda bahagia, perbanyak bersyukur atas nikmat yang Tuhan berikan untuk Anda\u003c/li\u003e\n\u003cli\u003eTerapkan selalu gaya hidup yang sehat dan teratur, jauhkan diri Anda dari rokok, alkohol, juga NAPZA\u003c/li\u003e\n\u003cli\u003eSaat terasa ingin marah, atur napas Anda, duduk atau beristirahatlah, kontrol emosi Anda\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eJika langkah di atas terasa sulit Anda lakukan, jangan segan periksa langsung ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eya.. Khawatirnya, keluhan Anda muncul berkaitan dengan suatu gangguan kejiwaan, misalnya gangguan kepribadian ambang, gangguan bipolar, autisme, dan sebagainya yang memerlukan penanganan khusus.\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","28 Desember 2023, 18:17",dr. Nadia Nurotul Fuadah
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/apa-itu-neurotisisme-dan-bagaimana-ciri-ciri-penderitanya-,Apa itu neurotisisme dan bagaimana ciri-ciri penderitanya?,"""\u003cp\u003eDokter, orang yg gampang tersulut emosi, mudah marah sama sulit menenangkan dirinya ketika emosi apakah itu ciri-ciri neurotisisme dok? mohon pencerahannya ya dokter. terima kasih\u003c/p\u003e""","1 Februari 2024, 08:43","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003eNeurotisisme ialah salah satu kepribadian dari five factor model atau lima besar kepribadian yang mencerminkan tingkat ketidakstabilan emosi, kecemasan dan rentan terhadap perasaan negatif. Jadi neurotisismi banyak kepribadian yang mengancu. Untuk kondisi orang anda sebutkan saya tidak bisa memastikannya ia mengalami hal ini, setiap orang memang memiliki tingkat emosi yang berbeda-beda, emosi dapat dialami jika ada pemicu yang membuat ia marah atau sedih.\u003c/p\u003e\n\u003cp\u003eMemang jika emosi berlebihan sudah memberikan dampak buruk untuk kehidupan sosial dan aktivitas memang sebaiknya untuk diubah dengan cara menghindar atau pergi saat ada sesuatu yang buat emosi, lalu tenangkan diri dengan cara melakukan relaksasi salah satunya dengan cara tarik napas dalam lalu embuskan perlahan melalui mulut, ulangi hingga merasa tenang. Jika sudah tenang maka bisa obrolin lebih lanjut.\u003c/p\u003e\n\u003cp\u003eJika tidak bisa mengatasi hal ini secara mandiri, memang bisa konsultasikan lebih lanjut ke \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003epsikolog\u003c/a\u003e untuk mendapatkan bantuan.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","1 Februari 2024, 11:26",dr. Riza Marlina
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/bagaimana-kita-bisa-mengenali-seseorang-dengan-gangguan-npd--narcissistic-personality,Bagaimana kita bisa mengenali seseorang dengan gangguan NPD (Narcissistic Personality Disorder)?,"""\u003cp\u003eAlodokter, dok bagaimana kita bisa mengenali seseorang dengan gangguan NPD (Narcissistic Personality Disorder)? Apa saja tanda perilakunya terhadap pasangan? Ngga pernah mau minta maaf, dan merasa si paling benar apakah termasuk cirinya dok?\u003c/p\u003e""","31 Mei 2024, 07:35","""\n\n\u003cp\u003eAlo, selamat pagi\u003c/p\u003e\n\u003cp\u003eNarcissistic personality disorder (NPD) atau gangguan keperibadian narsistik ialah salah satu jenis gangguan mental yang dimana pengidapnya menggap diirnya lebih baik dan lebih penting daripada orang lain sehingga orang lain harus menganggumi, mencintai dan membanggakannya. Dimana pengidap ini memiliki rasa percaya diri yang sangat tinggi, namun di balik itu ia juga menjadi lebih sensitif terhadap keritikan dari orang lain yang dimana orang dengan gangguan ini cenderung memiliki empati yang rendah terhadap orang lain.\u003c/p\u003e\n\u003cp\u003eHingga kini, sebetulnya belum diketahui secara pasti apa penyebab muncul gangguan keperibadian ini namun beberapa faktor yang diduga dapat meningkatkan resiko ini seperti memiliki keluraga dengan riwayat NPD, pola asuh orang tua yang tidak tepat, terlalu banyak atau kurang menerima pujian selama masa kanak-kanak, pengalaman traumatis di masa lalu serta memiliki sifat yang mudah emosi.\u003c/p\u003e\n\u003cp\u003eUntuk pasangan anda saya tidak bisa memastikan apa ia termasuk gangguan ini, untuk menegakan gangguan psikologis perlu pemeriksaan secara langsung ke\u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003e psikolog \u003c/a\u003edan psikiater, jika anda merasa pasangan anda seperti ini dan hubungan menjadi tidak harmonis sudah mencari solusi bersama-sama namun tidak membantu, sebaiknya konsultasikan hal ini lebih lanjut ke ahlinya agar dapat diberikan solusi lebih tepat.\u003c/p\u003e\n\u003cp\u003eUntuk anda dan pasangan coba cari waktu dimana mood sedang baik maka obrolin akan perasaan kalian masing-masing dan diskusi untuk memecahkan masalah tersebut dengan baik.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","31 Mei 2024, 09:52",dr. Riza Marlina
gangguan kepribadian,https://www.alodokter.com/komunitas/topic/penyebab-emosi-remaja-yang-masih-labil-dan-sering-berubah-ubah,Penyebab emosi remaja yang masih labil dan sering berubah-ubah,"""\n\n\u003cp\u003eDok... saya mau tanya. Saya masih berumur 14 tahun. Dan saya ini setiap hari selalu berubah ubah emosinya dan terkadang menangis sendiri dan tertawa atau marah dan semuanya berubah dalam jangka waktu pendek. sedari kecil saya memang emosinya labil tapi saya berharap seiring dgn bertambah usia, emosi saya bisa lebih dikontrol. Tapi hingga 14th, emosi saya masih labil. Kadang saya mau mendengarkan nasihat ortu dan lingkungan saya, tp terkadang tidak saya dengar sama sekali, kenapa ya dok kok emosi remaja itu bisa labil begitu? gimana caranya mengatasi itu semua dok?\u003c/p\u003e\n""","21 September 2022, 08:03","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter,\u003c/p\u003e\n\u003cp\u003ePada usia remaja atau pubertas, maka wajar ketika anda mengalami emosi yang masih labil sehingga dapat bereaksi berlebihan terhadap hal yang sepele hingga pada masalah besar. Kondisi ini dapat terjadi karena ketidakseimbangan hormonal pada usia pubertas, terutama pada wanita ketika mengalami premenstrual syndrome.\u003c/p\u003e\n\u003cp\u003eUntuk mengatasinya, anda perlu melakukan \u003ca href=\""https://www.alodokter.com/relaksasi-sederhana-di-rumah-bisa-mengusir-stres\""\u003elatihan relaksasi\u003c/a\u003e, dan membiasakan latihan tersebut ketika anda sedang mengalami emosi labil yang tidak nyaman tersebut. Anda juga dapat menuliskannya ke dalam jurnal mengenai emosi dan aktivitas harian anda, sehingga nantinya anda dapat mengetahui beberapa pemicu emosi sedih atau marah yang anda alami.\u003c/p\u003e\n\u003cp\u003eSelain itu, anda perlu melatih untuk melihat masalah dari sudut yang berbeda, seperti mengambil hikmah dari setiap masalah, serta meningkatkan wawasan untuk dapat memahami seseorang atau suatu permasalahan di dalam kehidupan.\u003c/p\u003e\n\u003cp\u003eJika anda masih merasa kesulitan untuk melakukannya sendiri, anda dapat meminta bantuan kepada teman atau keluarga yang dipercaya, ataupun dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e yang lebih ahli dalam bidangnya.\u003c/p\u003e\n\u003cp\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","21 September 2022, 11:47",dr. Arrum Putri Amalia
