topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
gangguan mental,https://www.alodokter.com/komunitas/topic/bagaimanakah-penjelasan-yang-mendetail-mengenai-bipolar-disorder-type-2-,Bagaimanakah penjelasan yang mendetail mengenai bipolar disorder type 2?,"""\u003cp\u003ePagi dok, bolehkah saya minta penjelasan yg mendetail tentang bipolar disorder type 2? soalnya suami saya dinyatakan mengalami penyakit ini dok, dokter jiwanya kayak terburu\"" jadi saya gabisa tanya banyak dokter\u003c/p\u003e""","12 Mei 2023, 07:27","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter.\u003cbr\u003e\u003cbr\u003e\u003ca href=\""https://www.alodokter.com/gangguan-bipolar\""\u003eBipolar\u003c/a\u003e merupakan gangguan mood yang ditandai dengan perubahan mood ekstrem dimana pada bipolar tipe 2 terdiri dari 2 fase yaitu fase hipomania dan fase depresif, yang dapat mengganggu produktivitas dan hubungan dengan orang lain.\u003c/p\u003e\n\u003cp\u003eFase hipomanik dapat ditandai dengan mood atau perasaan yang meningkat dan berubahn disertai dengan keinginan dalam melakukan aktivitas, sosialisasi, dan berbicara berlebih, perilaku terlalu akrab, peningkatan energi seksual, penurunan waktu tidur, dan kondisi ini menetap selama beberapa hari berturut-turut.\u003c/p\u003e\n\u003cp\u003eSelain itu, fase depresi ditandai dengan adanya penurunan fokus dan perhatian, penurunan percaya diri, adanya rasa bersalah dan tidak berharga, pesimis terhadap masa depan, penurunan nafsu makan, dan juga pikiran bunuh diri selama 2 minggu berturut-turut.\u003c/p\u003e\n\u003cp\u003eJika memang anda masih merasa kurang yakin dengan diagnosa dokter sebelumnya pada suami anda, maka anda dan suami anda boleh saja mencari second opinion dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003edokter psikiater\u003c/a\u003e lain untuk meyakinkan anda dan suami anda terhadap kondisi suami anda nantinya.\u003cbr\u003e\u003cbr\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","12 Mei 2023, 09:24",dr. Arrum Putri Amalia
gangguan mental,https://www.alodokter.com/komunitas/topic/apa-itu-penyakit-skizofrenia-dan-pengobatannya-seperti-apa-,Apa itu penyakit skizofrenia dan pengobatannya seperti apa?,"""\u003cp\u003eSelamat sore, dok saya ingin curhat tentang masalah kakek saya, kakek saya sering tidak bisa tidur di kala malam hari, matanya terjaga terus. beliau begini karena saya merasa ada orang yang mengawasi dan pengen membunuhnya. saya melihat beliau memiliki perasaan sedih senang bisa berganti dengan cepat yg dibilang mood swing. saya bawa kakek saya ke dokter jiwa dan didiagnosis skizofrenia, dok sebenernya penyakit apa itu skizofrenia? dan pengobatannya bagaimana dok?\u003c/p\u003e""","1 April 2024, 08:59","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/skizofrenia\""\u003eSkizofrenia\u003c/a\u003e ialah gangguan mental yang menyebabkan penderitanya mengalami halusinasi, delusi dan perubahan perilaku, penyakit ini merupakan penyakit mental yang serius karena penderitanya kesulitan dalam membedakan khayalan dan realita sehingga penderita kerap dianggap gila. Belum deketahui secara pasti penyebab kondisi ini namun diduga akibat pengaruh genetik atau keturunan apabila salah satu keluarga mengalami hal ini, selain itu juga diduga akibat masalah keseimbangan kimia dan otak.\u003c/p\u003e\n\u003cp\u003ePenyakit ini tidak bisa disembuhkan namun pengobatan bisa dilakukan untuk mengurangi gejala sehingga penderita bisa beradaptasi dengan lingkungan sekitar layak orang normal pengobatan yang diberikan berupa obatan dan terapi, perlu diingat bahwa selama pengobatan pasien harus rutin kontrol ke dokter agar dapat di evaluasi terus.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","1 April 2024, 12:30",dr. Riza Marlina
gangguan mental,https://www.alodokter.com/komunitas/topic/penyebab-tidak-bisa-menangis-meskipun-dada-terasa-sesak-saat-sedih,Penyebab tidak bisa menangis meskipun dada terasa sesak saat sedih,"""\n\n\u003cp\u003eMalam, Dok. Saya perempuan berusia 20 tahun. Saya sedang mengalami masa-masa sulit dalam hidup saya. Banyak faktor, mulai dari keluarga, pendidikan, hingga percintaan saya. Masalah dengan keluarga saya muncul sudah sejak saya kecil dok dan terus berlanjut hingga sekarang, dan sekrang ditambah dengan masalah lainnya hingga membuat dada saya sesak dok hingga ingin menangis. saya sering menyendiri untuk menangis tapi kenapa ya dok kok saya gabisa nnagis juga? air mata saya sulit keluar meskipun saya merasa sedih dann juga dada saya yg udah nyesek, tolong dibantu ya dok, saya udah stres banget :(\u003c/p\u003e\n""","22 September 2022, 13:56","""\n\n\u003cp\u003eHalo terima kasih sudah bertanya di alodokter\u003c/p\u003e\nSaya dokter Ainul\n\nMasalah kesehatan mental tidak boleh dianggap sepele. Pasalnya beberapa keluhan fisik dapat muncul akibat kesehatan mental yang kurang baik. Rasa sesak di dada yang Anda rasakan dapat menjadi salah satu tanda masalah mental issue. Keluhan yang Anda rasakan dapat mengarah ke beberapa kondisi, diantaranya adalah:\n\u003cul\u003e\n\u003cli\u003eGejala depresi\u003c/li\u003e\n\u003cli\u003eGangguan kecemasan\u003c/li\u003e\n\u003cli\u003ePTSD\u003c/li\u003e\n\u003cli\u003eDan lainnya\u003c/li\u003e\n\u003c/ul\u003e\nUntuk menegakkan diagnosis dan menyingkirkan diagnosis banding lainnya ada baiknya anda memeriksakan diri Anda ke dokter atau ke dokter jiwa, terlebih jika keluhan yang Anda rasakan sangat mengganggu aktivitas anda sehari-hari seperti; anda sulit tidur, sulit beraktivitas, Anda menjadi lebih pendiam, dan membuat produktivitas Anda berkurang. Jika muncul tanda tersebut Anda sudah membutuhkan pemeriksaan oleh \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003edokter jiwa\u003c/a\u003e ya, tidak ada salahnya untuk mencoba ya. Dokter jiwa akan melakukan pemeriksaan lebih lanjut terkait keluhan Anda. Saat ini, beberapa hal ybag dapat Anda lakukan adalah:\n\u003cul\u003e\n\u003cli\u003eManajemen stress dengan baik\u003c/li\u003e\n\u003cli\u003eTidak menyendiri\u003c/li\u003e\n\u003cli\u003eJauhkan diri Anda dari hal atau benda berbahaya\u003c/li\u003e\n\u003cli\u003eCeritakan masalah Anda dengan orang yang Anda percaya, terlebih keluarga atau sahabat\u003c/li\u003e\n\u003cli\u003eRelaksasi diri, berikan Anda waktu untuk \"" me time\"" dan lakukanlah hal bermanfaat saat me time\u003c/li\u003e\n\u003cli\u003eIstirahat cukup\u003c/li\u003e\n\u003cli\u003eRefreshing pikiran dengan perbanyak beribadah, dsn kunjungi tempat2 positif yang Anda sukai\u003c/li\u003e\n\u003cli\u003eYoga dan relaksasi diri\u003c/li\u003e\n\u003c/ul\u003e\n\nTerimakasih dan semoga membantu\n\n\n\n\n""","22 September 2022, 15:43",dr. Muhammad Ainul Rohman F
gangguan mental,https://www.alodokter.com/komunitas/topic/apa-itu-penyakit-skizofrenia-paranoid-dan-bisakah-sembuh-,Apa itu penyakit skizofrenia paranoid dan bisakah sembuh?,"""\u003cp\u003eSiang dok, dok saya ada keluhan, kakek saya usia 63 tahun, kakek saya tiap hari merasa terancam jiwanya, rasa takut seolah-olah ada sekumpulan orang yang dianggap menjadi ancaman padahal itu cuma halusinasi. sudah di bawa ke spesialis jiwa dan didiagnosis skizofrenia paranoid. yang ingn saya tanyakan adalah apa itu skizofrenia paranoid dokter? \u003c/p\u003e""","26 Maret 2024, 09:40","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/skizofrenia\""\u003eSkizofrenia \u003c/a\u003eparanoid ialah salah satu jenis skizofrenia yang paling sering terjadi yang dimana umumnya penderita akan merasakan kecurigaan dan ketakutan terhadap orang lain atau sesuatu yang tidak nyata selain itu juga penderita mengalami gejala tertentu seperti merasa diperintah, dikejar, dikendalikan oleh orang lain dan mengalami halusinasi pendengaran. Skizofrenia paranoid merupakan gangguan mental yang dimana penyebab pastinya belum diketahui namun ada dugaan kondisi ini diturunkan di dalam keluarga, ada juga beberapa faktor yang dapat meningkatkan resiko seseorang mengalami skizofernia paranoid seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eMengalami kelainan dan gangguan pada otak\u003c/li\u003e\n\u003cli\u003eMengalami kekuranagn oksigen saat lahir\u003c/li\u003e\n\u003cli\u003eMengalami trauma pada masa kanak-kanak\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003ePenyakit ini merupakan penyakit gangguan mental yang diderita seumur hidup dan tidak dapat pulih dengan sepunuhnya, tetapi dengan bantuan dokter psikiater dan perawatan rutin serta dukungan keluarga serta lingkungan gejala penyakit ini dapat diredakan dan penderitanya dapat beradaptasi dengan kondisi yang dialaminya.\u003c/p\u003e\n\u003cp\u003eSemoga dapat membantu\u003c/p\u003e\n\n""","26 Maret 2024, 13:15",dr. Riza Marlina
gangguan mental,https://www.alodokter.com/komunitas/topic/cara-menghilangkan-rasa-trauma-dari-kekerasan-di-masa-kecil,Cara menghilangkan rasa trauma dari kekerasan di masa kecil,"""\n\n\u003cp\u003eHello Dokter,\u003cbr\u003e\u003cbr\u003eSaya seorang ibu dengan 2 orang anak. Saya ingin terlepas dari trauma masa kecil saya dan perlakuan buruk orang tua saya terhadap saya. Saat usia enam tahun saya mengalami kekerasan dari ibu saya,beliau memukul,berkata kasar,menenggelamkan kepala saya beberapa kali di bak mandi sebab saat kecil saya termasuk anak yang cengeng sehingga membuatnya mudah terpancing emosi.Sehingga hubungan kami tidak dekat hingga saat ini. Tumbuh menjadi anak yang sangat dekat dengan kekerasan fisik, verbal dan pikis, emosi saya tidak stabil, sangat mudah meledak. Hal ini semakin saya rasakan ketika saya punya dua orang anak. Saya menjadi monster bagi anak pertama saya dan saya merasa sangat gagal menjadi orang tua. dok bagaimana mengurangi trauma dari masa kecil? dan bagaimana mengelola emosi menjadi hal yang positif? \u003c/p\u003e\n""","21 September 2022, 08:54","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter,\u003c/p\u003e\n\u003cp\u003eKondisi trauma masa kecil yang anda alami dapat disebabkan oleh pola asuh yang kurang tepat sehingga dapat menyebabkan gangguan psikologis atau gangguan kepribadian yang dapat mengganggu produktivitas dan pencapaian anda pada usia dewasa.\u003c/p\u003e\n\u003cp\u003eNamun, pola asuh yang ibu anda lakukan kepada anda perlu dihentikan siklusnya pada diri anda, dengan tidak melakukan hal serupa pada anak anda, untuk mencegah terjadinya masalah psikologis pada anak anda ketika usia dewasa nantinya.\u003c/p\u003e\n\u003cp\u003eUntuk itu, anda perlu melakukan \u003ca href=\""https://www.alodokter.com/terapi-kognitif-perilaku-untuk-menangani-berbagai-masalah\""\u003eterapi kognitif perilaku\u003c/a\u003e agar anda tidak selalu terjebak terhadap pikiran dan perasaan negatif. Beberapa \u003ca href=\""https://www.alodokter.com/ketahui-apa-itu-perilaku-kognitif\""\u003etahap dari terapi kognitif perilaku\u003c/a\u003e ini adalah dengan mengidentifikasi masalah yaitu dengan mengenali emosi dan pemicu emosi yang anda alami saat ini, dimana dapat diketahui dengan menulis jurnal mengenai emosi dan aktivitas anda setiap harinya.\u003c/p\u003e\n\u003cp\u003eKemudian setelah dapat mengenali emosi dan pemicu masalahnya, anda perlu fokus terhadap pencarian solusi, dan membiasakan mencari sudut pandang positif terhadap suatu masalah. Jika memang anda sedang tersulut emosi, anda perlu melatih diri anda untuk melakukan teknik relaksasi setiap sedang mengalami emosi seperit sedih dan marah, sehingga dapat mencegah anda untuk melakukan pelampiasan pada orang lain.\u003c/p\u003e\n\u003cp\u003eNamun, jika anda masih kesulitan untuk melakukannya sendiri, maka sebaiknya anda berkonsultasi lebih lanjut dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003edokter psikiater\u003c/a\u003e yang lebih ahli dalam bidang tersebut, agar dapat dilakukan bimbingan psikoterapi yang tepat.\u003c/p\u003e\n\u003cp\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","21 September 2022, 12:36",dr. Arrum Putri Amalia
gangguan mental,https://www.alodokter.com/komunitas/topic/ciri-ciri-orang-yang-mengalami-narcissistic-personality-disorder-dan-apa-solusinya-,Ciri-ciri orang yang mengalami narcissistic personality disorder dan apa solusinya?,"""\u003cp\u003eDok sekarang banyak konten yang membahas ttg narcissistic personality disorder di tiktok. saya seorang pria usia 21 th dan saya merasa diri saya istimewa kadang saya merasa jika saya sempurna, tidak peka sama lingkungan sekitar saya, Apakah dari situ saya udah bisa digolongkan orang yg terkena narcissistic personality disorder?\u003c/p\u003e""","9 Oktober 2023, 10:29","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003egangguan kepribadian narsitik ialah suatu kondisi ketika seseorang merasa dirinya lebih baik dari orang lain sehingga butuh dikagumi dan mendapatkan perhatian lebih. penderita narsistik umumnya terlihat sangat percaya diri namun hal tersebut sebenarnya untuk menutupi harga dirinya yang sangat rapuh serta dapat membuat penderitanya tidak bahagia atau kecewa jika tidak diperlakukan atau dipuji seperti yang di harapkan. kondisi ini dapat menimbulkan masalh bagi kehidupan, pekerjaan dan lingkup sosialnya.\u003c/p\u003e\n\u003cp\u003epenyebab kondisi ini ada beberapa faktor yang diduga terkait seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003efaktor genetik riwayat narsitik dalam keluarga\u003c/li\u003e\n\u003cli\u003efaktor lingkungan yaitu pola asuh orang tua yang terlalu memanjakan atau tidak memedulikan anak, trauma masa kecil\u003c/li\u003e\n\u003cli\u003efaktor neurobiologi yaitu hubungan antra otak dengan pola pikir dan perilaku\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003euntuk kondisi anda belum tentu mengalami gangguan kepribadian, merasa diri lebih baik wajar dialami selama itu tidak menganggu kehidupan sosial anda. namun jika sudah menganggu sebaiknya anda melakukan konsultasi lebih lanjut ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003epsikiater \u003c/a\u003ekarena bisa jadi anda mengalami gangguan mental berupa gangguan kepribadian. untuk mencegah anda mengalami gangguan kondisi ini sebaiknya untuk bersosialisi, berkumpul dengan teman atau keluarga, serta anda juga perlu sadari setiap orang memiliki kekurangan dan kelebihan masing-masing jadi cintai diri anda dan sayangi serta peduli dengan lingkungan anda.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","9 Oktober 2023, 13:43",dr. Riza Marlina
gangguan mental,https://www.alodokter.com/komunitas/topic/apakah-overthinking-termasuk-gangguan-mental-dan-bagaimana-solusinya-,Apakah overthinking termasuk gangguan mental dan bagaimana solusinya?,"""\u003cp\u003eSaya suka overthingking sama pasangan saya deh dokter. dia jadinya jengah saya curigain mulu, padahal saya pernah ingin pergokin dg datang langsung ke tempat kerjanya, dan dia beneran bekerja dan gada yg aneh disana, namun pikiran saya tu macem2 mulu tentang dia dok, Apakah overthinking termasuk dalam gangguan mental dok?\u003c/p\u003e""","23 November 2023, 14:56","""\n\n\u003cp\u003eAlo, selamat sore\u003c/p\u003e\n\u003cp\u003eoverthinking ialah istilah yang mengarah kepada suatu perilaku memikirkan segala sesuatu secara berlebihan, lebih tepatnya memikirkan hal yang buruk yang dimana hal ini dipicu oleh adanya kekhawatiran akan suatu hal mulai dari hal sepele hingga masalah besar hingga trauma masa lalu. hal ini membuat anda tidak berhenti memikirkannya. orang dengan overthinking merasa kebiasaan tersebut sebagai sebuah sikap berhati-hati dalam mengambil keputusan dan membantu mereka lebih memahami situasi dari berbagai sudut pandang padahal justru sikap ini bisa memberikan dampak buruk berupa :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003esemakin khawatir, cemas, mudah panik dan insecure\u003c/li\u003e\n\u003cli\u003emengabiskan waktu\u003c/li\u003e\n\u003cli\u003emenyebabkan sulit bersosialisasi\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eoverthinking ini bukan gangguan mental namun ia bisa jatuh ke gangguan mental seperti beresiko menyebabkan gangguan kecemasan dan depresi akibat perilaku yang salah ini. untuk kondisi anda pasti ada penyebabnya anda seperti ini bisa jadi pasangan anda dulu ada buat kesalahan, atau anda mengalami trauma di masa lalu, akibat melihat kejadian pada orang lain atau disekitar anda.\u003c/p\u003e\n\u003cp\u003esaran saya jika memang ada keselahan pada pasangan anda dan anda ingin tetap bersama maka maafkan dan lupakan. pikirkan hal yang indah kalian lakukan, dan percaya padanya. namun jika anda tidak bisa melupakannya dan memaafkannya maka sebaiknya hindari hubungan toxic ini untuk kesehatan mental anda atau jika memang akibat trauma sebaiknya anda yakinkan diri bahwa tidak seperti itu dan sibukan diri anda dengan hal yang positif dan menyenangkan jauhi hal-hal yang membuat anda berpikir buruk berlebihan seperti penggunaan sosmed sebaiknya batasi dan ikuti yang memberikan hal yang baik untuk anda dan jauhi orang-orang yang toxic dekatkan diri dengan Tuhan.\u003c/p\u003e\n\u003cp\u003ejika anda tidak bisa mengatasi hal ini maka anda bisa konsultasi lebih lanjut ke\u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog?page=1\""\u003e psikolog \u003c/a\u003euntuk mendapatkan solusi dan penanganan yang lebih tepat.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","23 November 2023, 16:48",dr. Riza Marlina
gangguan mental,https://www.alodokter.com/komunitas/topic/apakah-punya-pacar-2-dimensi-termasuk-gangguan-mental-,Apakah punya pacar 2 dimensi termasuk gangguan mental?,"""\n\n\u003cp\u003eDok saya senang sekali anime, sejak kecil sya sering nonton anime seperti one piece.. hingga akhirnya saya memiliki bayangan memiliki pacar seperti salah satu kareakter di anime tsb.. saya merasa jatuh cinta dengan dia.. saya sudah anggap karakter ini seperti pacar saya sendiri. Apakah saya memiliki gangguan mental dok karena punya pacara 2 dimensi? \u003c/p\u003e\n""","19 September 2022, 13:57","""\n\n\u003cp\u003eAlo, terima kasih sudah bertanya kepada alodokter. Saya dr. Ainul\u003c/p\u003e\n\u003cp\u003eMemiliki pemikiran yang Anda alami dapat termasuk kedalam hal yang normal atau bahkan mungkin mengalami gangguan tertentu. Normalnya setiap manusia memiliki harapan dan cita cita yang ingin dicapai. Harapan tersebut dapat dipicu dari tokoh terkenal, ataupun lainnya. Akan tetapi jika yang dilakukan dengan membuat dunia fantasi dan menimbulkan keluhan seperti gangguan tidur dan gangguan dalam menjalankan aktivitas sehari hari tentu mungkin saja disebabkan oleh gangguan pada pemikiran.\u003c/p\u003e\n\u003cp\u003eJika dirasakan mengalami gangguan dalam menjalankan aktivitas sehari hari dan gangguan pola tidur maka sebaiknya kunjungi dokter psikiatri. Dokter perlu melakukan wawancara pemeriksaan fisik dan juga pemeriksaan penunjang jika dibutuhkan. Hal hal berikut ini yang dapat dilakukan untuk meningkatkan kualitas hidup seperti:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eMenekuni hobi dengan membatasi sesuai kemampuan\u003c/li\u003e\n\u003cli\u003eTidur cukup 6 hingga 8 jam dalam sehari\u003c/li\u003e\n\u003cli\u003eMengelola stres melakukan relaksasi\u003c/li\u003e\n\u003cli\u003eMenjalani kehidupannsehari hari dengab meningkatkan kegiatan bermasyarakat dan sosial\u003c/li\u003e\n\u003cli\u003eMakan makanan sehat bergizi seimbang\u003c/li\u003e\n\u003cli\u003eBatasi penggunaan gagget\u003c/li\u003e\n\u003cli\u003eOlahraga teratur 2-3x dalam seminggu\u003c/li\u003e\n\u003c/ul\u003ePerlu dipahami dunia fantasi sekedar hobi. Dan alangkah baiknya jika meningkatkan kegiatan bermasyarakat. Jika mengalami nyeri kepala, cemas gangguan tidur gangguan menjalanlan aktivitas sehari hari mungkin disebabkan gangguan kecemasan umum, gangguan depresi dan lain lain. Semoga membantu\n""","19 September 2022, 15:51",dr. Muhammad Ainul Rohman F
gangguan mental,https://www.alodokter.com/komunitas/topic/apa-yang-harus-dilakukan-saat-merasa-kehilangan-semangat-hidup-,Apa yang harus dilakukan saat merasa kehilangan semangat hidup?,"""\n\n\u003cp\u003ehalo dok, saya seorang perempuan umur saya 20 tahun. Saya sudah kehilangan minat dan motivasi hidup sejak saya duduk di bangku SMA. Dan masalah nya berkaitan dengan keluarga. Saat itu saya punya mimpi dan ambisi yang besar, namun semuanya dipatahkan oleh keluarga saya sendiri, dengan kata² kasar yang sampai saat ini masih saya ingat dengan jelas. Kemudian itu semua yang menyebabkan saya menjadi murung, kehilangan minat untuk melakukan apapun bahkan tidak lagi bersemangat untuk belajar, saya menghabiskan semua waktu hanya di dalam kamar bahkan ketika makan. Saya tidak pernah keluar rumah kecuali untuk pergi ke sekolah. Yang saya lakukan didalam kamar hanyalah merenung dan kemudian menangis, menutup jendela dan mendengarkan lagu berharap bisa tenang. Komunikasi dengan keluarga juga terbatas sejak saat terkahir kali berbicara dengan mereka, karena saya takut mendengar hal\"" yang mungkin menyakiti saya lagi, saya juga menjadi mudah marah dok.. semakin hari keluhan saya ini malah bertambah parah, saya semakin kehilangan semangat untuk hidup dan berpikir untuk bunuh diri. apa yg harus saya lakukan dok?\u003c/p\u003e\n""","12 September 2022, 13:27","""\n\n\u003cp\u003eAlo, selamat siang\u003c/p\u003e\n\u003cp\u003esaya sangat mengerti akan perasaan yang anda alami, kesehatan mental tidak kalah jauh pentingnya dengan kesehatan fisik. kesehatan mental mala akan lebih meningkatkan kesehatan fisik juga. dimana kondisi yang anda alami seperti sedih yang berlarut, hingga tidak ada semangat dalam menjalani aktivitas sehari dan ada pikiran bunuh diri kondisi ini dapat mengarah pada kondisi depersi yaitu suatu kondisi gangguan mood atau suasana hati.\u003c/p\u003e\n\u003cp\u003ebegitu banyak penyebab terjadinya depresi salah satunya akibat faktor tekanan batin seperti yang anda alami, ada beberapa tips yang bisa anda lakukan seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ecoba cari waktu yang tepat berkumpul dengan keluarga anda dan ungkapkan perasaan yang anda rasakan, atau anda bisa meminta perantra yang anda rasa orang tersebut bisa anda percaya agar keluarga anda juga mengerti perasaan anda.\u003c/li\u003e\n\u003cli\u003eanda bisa jadikan kataan tersebut motivasi untuk lebih maju\u003c/li\u003e\n\u003cli\u003elakukan hal yang positif sibukan diri anda dengan hal positif sehingga tidak teringat akan masalah yang anda hadapi\u003c/li\u003e\n\u003cli\u003eanda bisa tampung perasaan anda dengan menulis\u003c/li\u003e\n\u003cli\u003edekatkan diri dengan Tuhan, berdo'a lah\u003c/li\u003e\n\u003cli\u003emelakukan meditasi atau yoga\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003etemui psikolog untuk mendapatkan solusi yang lebih tepat.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","12 September 2022, 15:14",dr. Riza Marlina
gangguan mental,https://www.alodokter.com/komunitas/topic/cara-mengatasi-rasa-cemas-akibat-trauma-bullying-masa-kecil,Cara mengatasi rasa cemas akibat trauma bullying masa kecil,"""\n\n\u003cp\u003eSiang dok, saya mau minta saran dok, jadi waktu SD saya pernah mendapatkan perundungan selama 1 tahun dan itu terjadi terus menerus, hingga membuat saya seperti depresi dan sempat berniat untuk mengakhiri hidup saya karna tiap hari saya selalu di bully. selain itu juga saya meresa tertekan karna di keluarga saya jg banyak permintaan. hingga saat ini sudah dewasa efeknya saya jadi mudah cemas, overthinking dan gelisah terus dok, saya harus gimana ya dok?\u003c/p\u003e\n""","21 September 2022, 08:53","""\n\n\u003cp\u003eAlo, terima kasih atas pertanyaannya untuk Alodokter,\u003c/p\u003e\n\u003cp\u003eRiwayat bullying dan pola asuh yang kurang tepat saat masa kecil, dapat membuat seseorang mengalami gangguan kepribadian dan gangguan psikologis tertentu, sehingga dapat pula mengganggu produktivitas dan pencapaian seseorang pada usia dewasa.\u003c/p\u003e\n\u003cp\u003eGejala sering mengalami cemas bisa saja menandakan adanya \u003ca href=\""https://www.alodokter.com/gangguan-kecemasan-umum\""\u003egangguan kecemasan\u003c/a\u003e yang dapat ditandai dengan berpikir berlebihan pada setiap kemungkinan terburuk yang belum tentu muncul, mudah tersinggung dan gugup, sulit mengambil suatu keputusan, dan sulit berkonsentrasi.\u003c/p\u003e\n\u003cp\u003eBeberapa gejala ini juga memerlukan terapi lebih lanjut jika dialami lebih dari 6 bulan disertai dengan gejala fisik seperti sakit kepala, tremor, gangguan tidur, dan lainnya. Oleh karena itu, sebaiknya anda berkonsultasi lebih lanjut dengan \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003edokter psikiater\u003c/a\u003e, agar dapat dilakukan pemeriksaan dan penanganan yang tepat seperti psikoterapi untuk mengatasi kecemasan yang anda alami.\u003c/p\u003e\n\u003cp\u003eSelain itu, anda juga perlu menerapkan pola hidup sehat seperti berolahraga teratur, melakukan \u003ca href=\""https://www.alodokter.com/teknik-relaksasi-untuk-mengatasi-kecemasan\""\u003eteknik relaksasi\u003c/a\u003e secara rutin melaui meditasi dan yoga, menulis jurnal untuk mengidentifikasi pemicu cemas anda, tidur cukup dan teratur, serta hindari kafein, rokok, dan alkohol.\u003c/p\u003e\n\u003cp\u003eDemikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.\u003c/p\u003e\n\n""","21 September 2022, 12:26",dr. Arrum Putri Amalia
