topik,URL,Title,Question,Question Date,Answer,Answer Date,By Doctor
ocd,https://www.alodokter.com/komunitas/topic/sebenarnya-penyakit-ocd-itu-merupakan-penyakit-apakah-,Sebenarnya penyakit OCD itu merupakan penyakit apakah?,"""\u003cp\u003eDok ini kan ada paman saya abis ke dokter dia dibilang kena penyakit OCD, tapi pas saya tanyain gak dijawab OCD itu apa, sebenernya penyakit OCD itu penyakit apa ya dok?\u003c/p\u003e""","20 Februari 2023, 10:33","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD \u003c/a\u003e(gangguan obsesif kompulsif) adalah suatu gangguan mental yang menyebabkan penderitanya terdorong untuk melakukan suatu tindakan secara berulang-ulang tanpa tujuan yang jelas, dan membuatnya merasa cemas berlebihan jika tindakan tersebut tidak dilakukan. Terjadinya OCD dipercaya berkaitan dengan gangguan keseimbangan senyawa kimia di otak, yang secara tidak langsung dipengaruhi oleh faktor genetik dan juga lingkungan.\u003c/p\u003e\n\u003cp\u003eGejala OCD bisa bervariasi, namun secara umum bisa ditandai dengan:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003ePikiran obsesif, yakni pikiran yang muncul berulang-ulang dan menimbulkan kecemasan yang seringkali bersifat mendadak tanpa pemicu yang jelas, misalnya berupa ketakutan akan tertular penyakit, stres saat melihat susunan benda tidak rapi, khawatir membahayakan orang lain\u003c/li\u003e\n\u003cli\u003ePerilaku kompulsif, yakni perilaku yang dilakukan berulang-ulang untuk mengurangi kecemasan akibat pikiran obsesif di atas, misalnya berupa mandi dan mencuci tangan berulang-ulang, menyusun benda dan merapikannya terus menerus, memeriksa berulang kali apakah sudah mengunci pintu atau belum/ sudah mematikan kompor atau belum\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eOCD perlu ditangani secara komprehensif, yakni dengan pemberian beberapa jenis obat, psikoterapi, terapi kognitif, dan sebagainya. Untuk itu, baiknya Anda berkonsultasi kembali dengan dokter, \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater\u003c/a\u003e, atau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eterdekat ya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","20 Februari 2023, 18:37",dr. Nadia Nurotul Fuadah
ocd,https://www.alodokter.com/komunitas/topic/sakit-apakah-sebenarnya-yang-dimaksud-penyakit-ocd-itu-,Sakit apakah sebenarnya yang dimaksud penyakit OCD itu?,"""\u003cp\u003eSaya ttuh tergolong orang yg freak banget soal kebersihan dan kerapihan dok.. saya dikata\""in temen\"" saya \""OCD lu OCD lu\"".. emangnya OCD itu sakit apa sih dok?\u003c/p\u003e""","3 April 2023, 13:42","""\n\n\u003cp\u003eAlo, selamat sore\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD\u003c/a\u003e( obsessive complsive disorder) ialah gangguan mental yang dimana si penderita terdorong untuk melakukan tidakan secara berulang-ulang. hal ini dilakukan untuk mengurangi rasa cemas dan khawtir dalam pikirannya. ada beberapa faktor yang diduga meningkatkan resiko OCD yaitu faktor genetik, pengaruh lingkungan dan perubahan senyawa kimia di otak. OCD ini dapat menyerang siapa saja, biasanya si penderita menyadari bahwa tindakannya berlebihan namun ia tidak bisa melawannya.\u003c/p\u003e\n\u003cp\u003edimana OCD cenderung bersifat sangat perfeksionis dalam segala hal. contoh penderita OCD ialah ia bolak-balik mengecek rumahnya apa sudah dikunci apa belum saat pergi karena takut kemalingan atau takut rumahnya kebakaran sehingga bolak-balik mengecak kompor, atau bolak-balik mencuci tangan karena merasa cemas jika terkena penyakit, sering membersihkan rumah dan lainnya sebagiannya.\u003c/p\u003e\n\u003cp\u003ejadi seseorang yang perfeksionis belum tentu menderita OCD, OCD hanya dapat ditegakan oleh dokter yang memeriksa jika anda merasa diri anda OCD sebaiknya saran saya untuk ke psikiater, namun jika tidak ada ciri-ciri yang saya sebutkan maka anda tidak menderita hal tersebut.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","3 April 2023, 15:18",dr. Riza Marlina
ocd,https://www.alodokter.com/komunitas/topic/apakah-yang-dimaksud-dengan-penyakit-ocd-,Apakah yang dimaksud dengan penyakit OCD?,"""\n\n\u003cp\u003eSaya kan suka banget beberes ya dok, saya gasuka banget liat yg berantakan. temen\"" saya malah ngeye saya OCD. emang OCD apa sih dok?\u003c/p\u003e\n""","28 Oktober 2022, 14:01","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/ocd/penyebab\""\u003eOCD (obsessive compulsive disorder) \u003c/a\u003eadalah gangguan psikis yang bisa membuat penderitanya terdorong untuk melakukan suatu tindakan secara berulang-ulang tanpa tujuan yang jelas dan bisa menimbulkan kecemasan yang mengganggu jika hal tersebut tidak dilakukan. OCD ini terjadi akibat gangguan pada keseimbangan senyawa kimia di otak. Banyak ahli beranggapan bahwa penyakit ini erat juga kaitannya dengan faktor genetik, peristiwa traumatik di masa lampau, memiliki jenis kepribadian yang sangat disiplin atau perfeksionis, atau juga mengalami gangguan psikis lainnya (seperti gangguan kecemasan, gangguan bipolar, dan sebagainya).\u003c/p\u003e\n\u003cp\u003eAda beragam gejala yang bisa muncul pada penderita OCD, salah satunya adalah kerap membereskan benda secara berulang-ulang, meski sesungguhnya sudah rapi, sebagaimana yang kerap Anda alami. Namun, tidak semua orang yang gemar beberes dan tidak suka dengan kondisi yang berantakan lantas bisa dipastikan mengalami OCD. Bisa jadi, memang pada dasarnya Anda merupakan orang yang suka dengan kerapihan dan kebersihan, dan hal ini sangatlah wajar.\u003c/p\u003e\n\u003cp\u003eSaran kami, Anda tidak panik dulu menyikapi anggapan teman Anda tersebut. Kebiasaan Anda membereskan benda agar tidak berantakan bisa Anda teruskan. Dengan kebiasaan tersebut, kegiatan Anda bisa dilakukan dengan lebih teratur dan mudah, Anda menjadi tidak mudah lupa, tempat tinggal menjadi lebih enak dilihat, dan banyak lagi manfaat lain yang bisa Anda peroleh. Hanya saja, jika Anda merasa sudah membereskan barang yang berantakan, sebaiknya Anda tidak lagi melakukan tindakan yang sama secara berulang-ulang, apalagi sampai mengabaikan aktifitas lain Anda yang lebih penting. Jika keinginan beberes tersebut sulit Anda kendalikan, jangan segan periksa ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eterdekat ya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","28 Oktober 2022, 16:32",dr. Nadia Nurotul Fuadah
ocd,https://www.alodokter.com/komunitas/topic/apa-itu-penyakit-ocd-akut--apakah-berbahaya-,"Apa itu penyakit ocd akut, apakah berbahaya?","""\u003cp\u003eSelamat siang dok. Saya punya teman dia seringkali membersihkan mejanya yg menurut dia belum bersih, padahal menurut saya meja nya itu sudah bersih. Katanya dia itu punya penyakit ocd akut. Emangnya ocd akut itu penyakit apa ya dok? apakah berbahaya??\u003c/p\u003e""","18 Juli 2023, 14:26","""\n\n\u003cp\u003eAlo, selamat sore\u003c/p\u003e\n\u003cp\u003eOCD (obsessive compulsive disorder) ialah gangguan mental yang dimana penderitanya itu melakukan tindakan tertentu secara verulang-ulang yang dimana tindakan ini dilakukan untuk mengurangi kecamasan dalam pikirannya. sebenarnya penderita OCD ini menyadari bahwa pikiran dan tindakan yang ia lakukan berlebihan namun tetap mereka tidak dapat melawannya. \u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD\u003c/a\u003e termasuk gangguan mental yang gejalanya bisa hilang timbul.\u003c/p\u003e\n\u003cp\u003eada beberapa faktor yang diduga dapat meningkatkan resiko mengalami OCD yaitu faktor genetik atau keturanan, menderita gangguan mental lain seperti gangguan kecemasan, mengalami trauma atau stres, memiliki kepribadian perfeksionis. pengobatan dilakukan untuk mengendalikan gejala agar si penderita dapat beraktivitas dengan baik dan lama pengobatan tergantung tingkat keparahan gejala dialami. kondisi ini menjadi bahaya jika mengalami gejala yang berat dan menganggu aktivitas nya sehari-hari bahkan bisa melakukan percoban bunuh diri maka perlunya pengobatan ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa?page=1\""\u003edokter psikiater \u003c/a\u003euntuk mengatasi hal ini tidak semakin buruk.\u003c/p\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","18 Juli 2023, 17:14",dr. Riza Marlina
ocd,https://www.alodokter.com/komunitas/topic/apakah-penyakit-ocd-pada-anak-usia-13-tahun-bisa-sembuh,Apakah penyakit OCD pada anak usia 13 tahun bisa sembuh sendiri?,"""\u003cp\u003eDok sodara saya usia 13 tahun, suka mengeluhkan ada pikiran-pikiran yang berulang-ulang. terus misal nih dok, dia tu suka cuci-cuci tangan dan bolak-balik bersihin dan menata barang2 di kamarnya dok. sampe2 kegiatan dia yang lain itu terbengkalai dan keganggu. Saya udah coba cari tau dan itu katanya bisa jadi OCD dok, anak saya udh pernah ke dokter sebelumnya. Apakah penyakit OCD bisa sembuh sendiri dokter?\u003c/p\u003e""","9 Agustus 2023, 07:56","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003ePerilaku yang anak Anda tunjukkan memang bisa saja disebabkan oleh \u003ca href=\""https://www.alodokter.com/ocd/pencegahan\""\u003egangguan obsesif kompulsif \u003c/a\u003e(OCD). OCD sendiri bisa terjadi pada siapapun, seringnya di kisaran usia 7 hingga 17 tahun. Penyebab kondisi ini adalah gangguan keseimbangan senyawa kimia di otak, yang bisa dipengaruhi oleh faktor genetik, jenis kepribadian tertentu, pola asuh sejak kecil, kondisi lingkungan, dan status kesehatan secara umum.\u003c/p\u003e\n\u003cp\u003eMeski tidak selalu berbahaya, OCD pada remaja bisa sangat mengganggu aktifitasnya dan membuat beragam hal penting menjadi terbengkalai, dikarenakan terlalu berfokus pada hal-hal kecil dan ingin melakukannya terus secara berulang-ulang. Dan jika pikiran mengganggu pada penderita OCD tidak dilampiaskan pun, imbasnya bisa membuat penderita perasa tidak tenang, panik berlebihan, bahkan bisa sampai melakukan percobaan bunuh diri pada kasus yang ekstrim.\u003c/p\u003e\n\u003cp\u003eSejatinya, tidak hanya OCD, kondisi yang anak Anda alami bisa juga terjadi murni karena sikapnya yang berhati-hati atau kegemarannya melihat yang bersih dan rapi, gangguan cemas berlebih, gangguan kepribadian, skizofrenia paranoid, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eTergantung keparahannya, OCD ada yang bisa membaik sendiri, namun ada juga yang butuh penanganan medis, seperti dengan obat-obatan, psikoterapi, dan lain-lain.\u003c/p\u003e\n\u003cp\u003eSementara ini, Anda bisa lakukan dulu:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eBanyak-banyak berinteraksi dengan anak, gali apa yang ada di pikirannya, sehingga ia melakukan tindakan seperti itu\u003c/li\u003e\n\u003cli\u003eJika Anda merasa tindakannya berlebihan, sadarkanlah ia agar berfokus pada hal yang penting terlebih dulu, jangan selalu menuruti pikiran-pikiran yang mengganggu terkait hal yang kurang penting\u003c/li\u003e\n\u003cli\u003eBiasakan anak Anda melakukan segala aktifitasnya secara teratur, termasuk menata barang di tempat semula, sehingga ia tidak perlu terus memastikan atau melakukannya lagi-dan-lagi untuk membuat dirinya tenang\u003c/li\u003e\n\u003cli\u003eAjak anak melakukan relaksasi, misalnya dengan meditasi, beribadah, yoga, latihan pernapasan, dan sebagainya\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003eJika belum membaik, dampingilah anak Anda periksa langsung ke \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003edokter \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog \u003c/a\u003eya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","9 Agustus 2023, 13:45",dr. Nadia Nurotul Fuadah
ocd,https://www.alodokter.com/komunitas/topic/apakah-sebetulnya-yang-dimaksud-dengan-penyakit-ocd-,Apakah sebetulnya yang dimaksud dengan penyakit OCD?,"""\u003cp\u003eSaya kan orangnya rapih banget ya dok, saya juga gasuka kotor, misalkan meja kerja saya itu harus selalu rapih dan saya gak suka kalo barang\"" temen saya itu sampe lewatin batas meja kerja saya dok, nah saya diledekin sama temen\"" saya kalo saya punya penyakit OCD, eamngnya yg dimaksud penyakit OCD itu apa sih dok?\u003c/p\u003e""","17 Januari 2024, 15:22","""\n\n\u003cp\u003eAlo, terimakasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003c/p\u003e\n\u003cp\u003eMenyukai kerapian dan keindahan sejatinya tidak selalu merupakan gejala \u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD (gangguan obsesif kompulsif\u003c/a\u003e). Kondisi yang Anda alami tersebut bisa merupakan suatu sikap dan kebiasaan yang baik, yang bisa membuat hidup Anda menjadi teratur, aktifitas menjadi lebih nyaman dilakukan, tubuh menjadi sehat, pikiran menjadi lebih tenang, dan lingkungan pun menjadi lebih enak dipandang.\u003c/p\u003e\n\u003cp\u003eNamun memang, pada beberapa kasus, bisa juga tindakan seseorang yang berulang-ulang membersihkan dan merapikan barang muncul akibat OCD. Pada kasus seperti ini, tindakan membersihkan dan merapikan barang tersebut akan dilakukan secara berlebihan, meski pada suatu tempat yang sejatinya sudah bersih dan rapi. Biasanya, penderita OCD melakukan tindakan tersebut karena pikiran yang menghantuinya terus menerus dan sulit untuk dikendalikan. Jika tindakan tersebut tidak dilampiaskan, maka penderita OCD akan menjadi sangat cemas, tidak bisa berpikir logis, dan aktifitasnya pun akan menjadi sangat terganggu. Bukan tidak mungkin, penderita OCD akan atau telah mengalami juga gangguan mental lainnya, seperti gangguan kecemasan umum, fobia spesifik, gangguan bipolar, gangguan stres pasca trauma, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eMembedakan mana yang termasuk OCD dan mana yang masih merupakan kebiasaan yang wajar idealnya tidak dilakukan oleh sembarang orang, melainkan butuh evaluasi yang komprehensif dari ahlinya, yakni \u003ca href=\""https://www.alodokter.com/cari-dokter/dokter-jiwa\""\u003epsikiater \u003c/a\u003eatau \u003ca href=\""https://www.alodokter.com/cari-dokter/psikolog\""\u003epsikolog\u003c/a\u003e. Sebab itu, jika Anda merasa amat terganggu dengan kondisi Anda, tidak ada salahnya juga memeriksakan diri ke fasilitas kesehatan terdekat ya..\u003c/p\u003e\n\u003cp\u003eSemoga membantu.\u003c/p\u003e\n\n""","17 Januari 2024, 17:23",dr. Nadia Nurotul Fuadah
ocd,https://www.alodokter.com/komunitas/topic/apakah-saya-perlu-menemui-psikiater--psikolog-atau-,Perasaan tidak nyaman jika keadaan sekitar kotor,"""\n\n\u003cp\u003eHalo dokter, saya ingin bertanya. Sebelumnya, saya bukan tipe orang yang sangat sangat rajin, saya merasa cukup rajin seperti pada umumnya saja. Nah, namun ada di suatu moment saya melihat sesuatu yang sangat-sangat kotor bukan kotor debu tapi kotor bernoda— mohon maaf agak hitam begitu dan sesuatu yang sangat berantakan. Saya tidak tenang, tidak nyaman, mood saya langsung jelek, marah, terkadang saya pun bisa sampai teriak-teriak atau bahkan (tidak sering) bisa menghancurkan sesuatu, dan saya tidak bisa langsung membersihkan pada saat itu juga saya perlu waktu seperkian menit untuk sedikit tenang. Aneh nya dok, kaki saya— dari lutut ke bawah itu terasa sangat gatal, merinding tapi hanya di bagian itu saja. Lalu, ada di moment yang lainnya saat saya melakukan aktivitas outdoor yang cukup kotor dibagian kaki saya, saya kembali merasakan kaki saya merinding, perasaan saya campur aduk tidak nyaman, tidak tenang, dan mood saya pun jadi jelek.Pertanyaan saya; Apa yang terjadi dengan saya dok? Atau apakah itu normal saja? Atau ada hal yang perlu saya perhatikan? Saya baik-baik saja atau tidak baik-baik saja?\u003c/p\u003e\n""","21 Juni 2022, 22:06","""\n\n\u003cp\u003eAlo, selamat malam\u003c/p\u003e\n\u003cp\u003esebelumnya seseorang wajar jika merasa tidak nyaman jika disekitarnya kotor. namun jika reaksi yang diberikan berlebihan sehingga menimbulkan gejala maka kondisi ini bisa menjadi suatu yang tidak wajar bisa berkaitan dengan suatu\u003ca href=\""https://www.alodokter.com/fobia\""\u003e fobia \u003c/a\u003eatau suatu kondisi \u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD \u003c/a\u003edan lainnya. hal ini dapat terjadi karena pengalaman negatif di masa lalu, adanya keturunan yang mengalami hal yang sama, faktor otak yang mengalami perubahan tertentu dalam kimia dan fungsi otak. untuk memastikan kondisi yang anda alam wajar atau tidak umumnya jika sudah menganggu akltivitas anda maka sebaiknya anda melakukan konsultasi dengan ahlinya seperti psikolog atau psikiater sehingga jika memang adanya suatu gangguan akan diberikan solusi dan penangnan yang tepat.\u003c/p\u003e\n\u003cp\u003eselain itu ada juga berapa hal yang bisa anda lakukan dirumah seperti :\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003emelakukan relaksasi seperti meditas atau yoga untuk menenangkan pikiran\u003c/li\u003e\n\u003cli\u003ebatasi konsumsi kafein\u003c/li\u003e\n\u003cli\u003ecukup istirahat dan tetap aktif bergerak\u003c/li\u003e\n\u003c/ul\u003e\n\u003cp\u003esemoga dapat membantu\u003c/p\u003e\n\n""","21 Juni 2022, 22:34",dr. Riza Marlina
ocd,https://www.alodokter.com/komunitas/topic/apa-itu-penyakit-ocd-dan-bagaimana-solusinya-,Apa itu penyakit OCD dan bagaimana solusinya?,"""\u003cp\u003eDok saya sering denger orang nyebut dirinya kena OCD. emang ocd itu apa sih dokter? seberapa bahayanya ya dok itu penyakit? tolong penjelasannya ya dok\u003c/p\u003e""","4 Juli 2023, 08:10","""\n\n\u003cp\u003eAlo. Terimakasih telah bertanya kepada Alodokter.\u003c/p\u003e\n\u003cp\u003eKondisi\u003ca href=\""https://www.alodokter.com/perbedaan-gangguan-obsesif-kompulsif-dan-gangguan-kepribadian-obsesif-kompulsif\""\u003eGangguan obsesif kompulsif (OCD) \u003c/a\u003emerupakan gangguan mental yang melakukan tindakan tertentu secara berulang-ulang untuk mengurangi kecemasan dalam pikirannya.\u003c/p\u003e\n\u003cp\u003eFaktor yang diduga dapat meningkatkan risiko terjadinya OCD antara lain:\u003c/p\u003e\n\u003col\u003e\n\u003cli\u003eFaktor genetik.\u003c/li\u003e\n\u003cli\u003ePerubahan pada senyawa kimia otak.\u003c/li\u003e\n\u003cli\u003ePengaruh lingkungan.\u003c/li\u003e\n\u003c/ol\u003eHanya profesional yaitu \u003ca href=\""https://www.alodokter.com\""\u003edokter spesialis Kejiwaan (Sp.KJ)/ Psikiater \u003c/a\u003eyang dapat menentukan diagnosis apakah seseorang tersebut menderita OCD (Obsesif Compulsive Disorder). \u003cbr\u003e\u003cp\u003ePerlunya pemeriksaan pada kondisi fisik dan informasi terkait keluhan saat ini, kapan pertama kali muncul, frekuensi muncul, pemicu kemunculan, masalah psikologis yang mungkin ada, riwayat pengasuhan saat masa kanak-kanak, riwayat penyakit ataupun riwayat pengobatan yang pernah/ sedang dijalani.\u003c/p\u003e\n\u003cp\u003ePemeriksaan penunjang seperti tes laboratorium, rekam otak (EEG), CTScan/MRI otak, menjawab kuisioner mungkin diperlukan untuk mengetahui penyebab.\u003c/p\u003e\n\u003cp\u003ePenanganan sangat tergantung dari penyebab, dapat berupa psikoterapi (terapi perilaku kognitif) ataupun pertimbangan pemberian obat-obatan.\u003cbr\u003eTerkait pertanyaan anda:\u003c/p\u003e\n\u003cul\u003e\n\u003cli\u003eSemisal ada penderita OCD yang takut terkena penyakit cenderung akan mencuci tangan secara berlebihan atauterlalu sering membersihkan rumah sehingga aktivitas harian terganggu.\u003c/li\u003e\n\u003cli\u003eHal ini dapat berbahaya untuk kualitas hidup penderita OCD serta hubungan sosial dengan lingkungan akan terganggu.\u003c/li\u003e\n\u003cli\u003eMaka dari itu, tujuan pengobatan dari OCD adalah mengendalikan gejala yang muncul agar kualitas hidup penderitanya dapat membaik.\u003c/li\u003e\n\u003c/ul\u003eSekian informasi yang dapat saya sampaikan. Semoga membantu menjawab pertanyaan anda. Salam.\n""","4 Juli 2023, 11:09","dr. Fadhilah Az Zahro, CIMI"
ocd,https://www.alodokter.com/komunitas/topic/ocda2f5d5,Cara menghadapi anak usia 10 tahun yang menderita OCD,"""\n\n\u003cp\u003ehalo dok, bagaimanakah cara kita menghadapi anak umu 10 tahun yang menderita OCD dan melakukan komplusif secara berlebihan ?\u003c/p\u003e\n""","12 Mei 2022, 19:00","""\n\n\u003cp\u003eTerima kasih atas pertanyaannya.\u003c/p\u003e\n\u003cp\u003e\u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD\u003c/a\u003e merupakan salah satu jenis gangguan mental dimana menyebabkan penderita melakukan tindakan berulang-ulang untuk mengurangi kondisi kecemasan dalam pikirannya.\u003ca href=\""https://www.alodokter.com/perbedaan-gangguan-obsesif-kompulsif-dan-gangguan-kepribadian-obsesif-kompulsif\""\u003eGangguan obsesif kompulsif\u003c/a\u003edapat muncul paling sering usia 7–17 tahun serta penderita biasanya tidak menyadari tindakan yang dilakukan termasuk berlebihan.\u003c/p\u003e\n\u003cp\u003eFaktor-faktor yang meningkatkan risiko terjadinya OCD seperti faktor genetik, mengalami perubahan senyawa kimia otak, lingkungan, dan sebagainya. Seseorang yang mengalami OCD dapat melakukan tindakan berulang untuk mengurangi kecemasan. Contoh tindakan yang dilakukan seperti mencuci tangan terus-menerus, mengecek kunci, terlalu sering membersihkan rumah, dan sebagainya.\u003c/p\u003e\n\u003cp\u003ePada kondisi OCD tersebut perlu diatasi kecemasannya sehingga kegiatan atau aktivitas berulang tersebut dapat berkurang. Oleh karena termasuk gangguan, sebaiknya membawa ke psikiater agar dapat diperiksa lebih lanjut dan mendapatkan penanganan yang sesuai. Pengobatan yang dilakukan tersebut termasuk terapi perilaku, pemberian obat-obatan, dan sebagainya.\u003c/p\u003e\n\u003cp\u003eTerima kasih, semoga membantu.\u003c/p\u003e\n\n""","12 Mei 2022, 20:49",dr. Riska Larasati
ocd,https://www.alodokter.com/komunitas/topic/gangguan-mentalef6f23,Sering melakukan sesuatu berulang-ulang,"""\n\n\u003cp\u003eHalo dok, kakak saya gejala penyakitnya seperti mengarah pada gangguan mental ocd. dia sering mengecek pintu berulang kali disertai ancaman jika ia tidak melakukan pengecekan ulang pintu itu. Yang saya khawatirkan dok, ia bahkan mempunyai pikiran ingin mencelakakan dirinya sendiri, seperti jika sedang mengendarai motor ia ingin rasanya menabrak pengendara lain di depannya, tapi untungnya ia masih bisa kontrol tetapi itu sangat menganggu aktivitas. bagaimana ya dok apakah ada saran cara apa yang bisa mencegah melukai diri sendiri dari rumah? karena untuk pengobatan masih dalam proses pengumpulan biaya nya dok.\u003c/p\u003e\n""","30 Januari 2022, 00:07","""\n\n\u003cp\u003eSelamat sore, terima kasih telah bertanya di Alodokter. \u003ca href=\""https://www.alodokter.com/ocd\""\u003eOCD atauObsessive Compulsive Disorder\u003c/a\u003e adalah kondisi gangguan mental dimana penderitanya memiliki kecenderungan untuk melakukan suatu tindakan berulang-ulang, yang bila tidak dilakukan akan menimbulkan kecemasan dan ketakutan.\u003c/p\u003e\n\u003cp\u003eMaka kata kunci dari memahami kondisi ini adalah pikiran yang terobsesi dan tindakan berulang. Ini memang bisa ditemukan pada orang yang mengecek pintu berulang kali, tapi yang perlu dipastikan adalah apakah ada pertanda lain yang bisa lebih menguatkan penegakan diagnosa tersebut, dan apakah keinginannya untuk menabrakkan diri itu merupakan dampak dari ketidaktahanannya terhadap gejala tersebut, atau sebenarnya itu merupakan pertanda dari kondisi mental lain yang belum diketahui.\u003c/p\u003e\n\u003cp\u003eDalam hal ini memang langkah terbaiknya adalah dengan memeriksakan diri, sebab kalaupun ia benar mengalami OCD, membiarkannya berada di rumah tanpa mendapatkan pengobatan apapun juga akan menyiksanya. Saran kami bila masalahnya adalah biaya, Anda bisa membantu kakak Anda mengurus jaminan kesehatan nasional. Sementara itu, jauhkan ia dari hal-hal yang bisa membuatnya menyakiti diri sendiri, jangan biarkan ia menyetir sendiri, dan kabari puskesmas terdekat. Sekian, semoga menjawab pertanyaan Anda.\u003c/p\u003e\n\n""","30 Januari 2022, 16:28",dr. Amadeo Drian Basfiansa
